reconciliation_billing_month	invoice_batch_label	source_file	observed_start_month	formal_match_status	numeric_match_status	record_side	charge_type	row_count	distinct_imsi_count	excel_total_final_charge	platform_calculated_amount_known_total	platform_total	platform_total_status	candidate_amount_diff_total	amount_diff_total	amount_abs_diff_total	excel_days_total	platform_days_total	day_diff_total	day_abs_diff_total	platform_days_population	platform_price_population	platform_amount_population	proven_mapping_row_count	proven_mapping_distinct_imsi_count	numeric_match_row_count	numeric_match_distinct_imsi_count	day_exact_row_count	price_exact_row_count	amount_exact_row_count
2026-03	2026-03	01-SIMO Data Purchase Invoice Details - MAR 2026.xlsx	2026-03	MISSING_MAPPING	NUMERIC_DIFF	EXCEL_DETAIL	Prorated Out - Transferred to Wing's Simbank	741	741	19685.7419354840			UNRESOLVED	-4533.750734	-4533.750734	4550.589444	10058.0000000000	7918.0000000000	-2140.000000000	2140.000000000	741	741	741	371	371	0	0	192	644	0
2026-03	2026-03	01-SIMO Data Purchase Invoice Details - MAR 2026.xlsx	2026-03	MISSING_MAPPING	NUMERIC_NOT_COMPARABLE	EXCEL_DETAIL	Prorated Out - Transferred to Wing's Simbank	34	34	2108.0000000000			UNRESOLVED				1054.0000000000	1054.0000000000	0E-9	0E-9	34	0	0	0	0	0	0	34	0	0
2026-03	2026-03	01-SIMO Data Purchase Invoice Details - MAR 2026.xlsx	2026-03	MISSING_MAPPING	NUMERIC_MATCH	EXCEL_DETAIL	Prorated Out - Transferred to Wing's Simbank	4126	4126	178957.5483870974			UNRESOLVED	0.000000	0.000000	0.000000	91969.0000000000	91969.0000000000	0E-9	0E-9	4126	4126	4126	4077	4077	4126	4126	4126	4126	4126
2026-03	2026-03	01-SIMO Data Purchase Invoice Details - MAR 2026.xlsx	2026-03	MATCHED	NUMERIC_MATCH	EXCEL_DETAIL	Prorated-out Charge - Offstocked Card	14	14	485.0967741935	485.096774	485.096774	COMPLETE	0.000000	0.000000	0.000000	245.0000000000	245.0000000000	0E-9	0E-9	14	14	14	14	14	14	14	14	14	14
2026-03				PLATFORM_ONLY		PLATFORM_FACT		3272	3145				UNRESOLVED								0	3272	0	0	0	0	0	0	0	0
2026-04	2026-04	01-SIMO Data Purchase Invoice Details - APR 2026.xlsx	2026-04	MATCHED	NUMERIC_MATCH	EXCEL_DETAIL	Full Cycle Charge	5254	5254	259696.0000000000	259696.000000	259696.000000	COMPLETE	0.000000	0.000000	0.000000	157634.0000000000	157634.0000000000	0E-9	0E-9	5254	5254	5254	5254	5254	5254	5254	5254	5254	5254
2026-04	2026-04	01-SIMO Data Purchase Invoice Details - APR 2026.xlsx	2026-04	MISSING_MAPPING	NUMERIC_MATCH	EXCEL_DETAIL	Full Cycle Charge	1070	1070	52071.0000000000			UNRESOLVED	0.000000	0.000000	0.000000	32100.0000000000	32100.0000000000	0E-9	0E-9	1070	1070	1070	0	0	1070	1070	1070	1070	1070
2026-04	2026-04	01-SIMO Data Purchase Invoice Details - APR 2026.xlsx	2026-04	MISSING_MAPPING	NUMERIC_DIFF	EXCEL_DETAIL	Full Cycle Charge	700	700	43400.0000000000			UNRESOLVED	-13300.000000	-13300.000000	13300.000000	21000.0000000000	21000.0000000000	0E-9	0E-9	700	700	700	0	0	0	0	700	0	0
2026-04	2026-04	01-SIMO Data Purchase Invoice Details - APR 2026.xlsx	2026-04	UNRESOLVED	NUMERIC_DIFF	EXCEL_DETAIL	Full Cycle Charge	1	1	43.0000000000	43.000000		UNRESOLVED	0.000000	0.000000	0.000000	30.0000000000	1.0000000000	-29.000000000	29.000000000	1	1	1	1	1	0	0	0	1	1
2026-04	2026-04	01-SIMO Data Purchase Invoice Details - APR 2026.xlsx	2026-04	MATCHED	NUMERIC_MATCH	EXCEL_DETAIL	New Activation: Prorated-in Charge	2	2	64.5000000000	64.500000	64.500000	COMPLETE	0.000000	0.000000	0.000000	45.0000000000	45.0000000000	0E-9	0E-9	2	2	2	2	2	2	2	2	2	2
2026-04	2026-04	01-SIMO Data Purchase Invoice Details - APR 2026.xlsx	2026-04	MISSING_DATA	NUMERIC_MATCH	EXCEL_DETAIL	New Activation: Prorated-in Charge	292	292	7865.1021505347			UNRESOLVED	0.000000	0.000000	0.000000	4653.0000000000	4653.0000000000	0E-9	0E-9	292	292	292	292	292	292	292	292	292	292
2026-04	2026-04	01-SIMO Data Purchase Invoice Details - APR 2026.xlsx	2026-04	MISSING_DATA	NUMERIC_DIFF	EXCEL_DETAIL	New Activation: Prorated-in Charge	37	37	889.0075268814			UNRESOLVED	-176.074192	-176.074192	185.229030	584.0000000000	472.0000000000	-112.000000000	112.000000000	37	37	37	37	37	0	0	10	37	0
