invoice_batch_label	excel_row_count	excel_imsi_count	excel_total_final_charge	source_file_count	source_status
2026-01	0	0	0E-10	0	NO_OFFICIAL_DETAIL_SOURCE_FILE
2026-03	13082	12763	578406.3064516085	1	DETAIL_SOURCE_PRESENT
2026-04	7780	7317	372289.3075268780	1	DETAIL_SOURCE_PRESENT
2026-05	7887	7494	389800.9526881709	1	DETAIL_SOURCE_PRESENT
