billing_month	wa_cards_with_cycle_product_rows	cards_with_wa_named_product	cards_with_pi_named_product	cards_with_exact_excel_product_name	cards_with_unclassified_product_name	cards_with_multiple_platform_product_names
2026-03	12763	7981	4932	5646	0	305
2026-04	7317	7317	5	5679	0	311
2026-05	7494	7494	5	6793	0	33
