table_catalog	table_schema	table_name	column_name	data_type
simo_prod	mysql_cdc_sync	card_billing_aug_excel_price	SIM_Supplier	STRING
simo_prod	mysql_cdc_sync	card_billing_test01	SIM_Supplier	STRING
simo_prod	mysql_cdc_sync	card_billing_v2_aug	SIM_Supplier	STRING
simo_prod	mysql_cdc_sync	card_billing_v2_detail	SIM_Supplier	STRING
simo_prod	mysql_cdc_sync	card_billing_v2_jul_test	SIM_Supplier	STRING
simo_prod	mysql_cdc_sync	card_billing_v2_test	SIM_Supplier	STRING
simo_prod	ods	config_dre_prod_type	supplier_id	LONG
simo_prod	ods	imsi_carrierid	supplier_id	LONG
simo_prod	ods	res_product_change_info	supplier_id	LONG
simo_prod	ods	resource_res_vsim_product	supplier_id	LONG
simo_prod	ods	resource_res_vsim_product	product_name_in_supplier	STRING
simo_prod	tc_cdr	mv_account_product_traffic_metrics	supplier	STRING
simo_prod	tc_cdr	mv_cdr_traffic_metrics	supplier	STRING
simo_prod	tc_cdr	records_details_add_data_need_process	supplier_id	STRING
simo_prod	tc_cdr	records_details_add_data_need_process	SIM_Supplier	STRING
simo_prod	tc_cdr	records_details_add_data_notneed_process	supplier_id	STRING
simo_prod	tc_cdr	records_details_add_data_notneed_process	SIM_Supplier	STRING
simo_prod	tc_cdr	records_details_add_data_process_result	supplier_id	STRING
simo_prod	tc_cdr	records_details_add_data_process_result	SIM_Supplier	STRING
simo_prod	tc_cdr	tc_udr_usage_data_records01_new	supplier_id	STRING
simo_prod	tc_cdr	tc_udr_usage_data_records01_new	SIM_Supplier	STRING
simo_prod	tc_cdr	tc_udr_usage_data_records01_new_his	supplier_id	STRING
simo_prod	tc_cdr	tc_udr_usage_data_records01_new_his	SIM_Supplier	STRING
simo_prod	tc_cdr	tc_udr_usage_data_records_details	supplier_id	STRING
simo_prod	tc_cdr	tc_udr_usage_data_records_details	SIM_Supplier	STRING
simo_prod	tc_cdr	tc_udr_usage_data_records_details_add_data	supplier_id	STRING
simo_prod	tc_cdr	tc_udr_usage_data_records_details_add_data	SIM_Supplier	STRING
simo_prod	tc_cdr	tc_udr_usage_data_records_details_rapir_data	supplier_id	STRING
simo_prod	tc_cdr	tc_udr_usage_data_records_details_rapir_data	SIM_Supplier	STRING
simo_prod	tc_cdr	tc_udr_usage_data_records_details_repair_data	supplier_id	STRING
simo_prod	tc_cdr	tc_udr_usage_data_records_details_repair_data	SIM_Supplier	STRING
simo_prod	tc_cdr	tc_udr_usage_records_daily_imsi	SIM_Supplier	STRING
simo_prod	tc_cdr	tc_udr_usage_records_daily_imsi_add_data	SIM_Supplier	STRING
simo_prod	tc_cdr	tc_udr_usage_records_hourly_imsi	SIM_Supplier	STRING
simo_prod	tc_cdr	tc_udr_usage_records_hourly_imsi_add_data	SIM_Supplier	STRING
simo_prod	tc_cdr	tc_udr_usage_records_monthly_imsi	SIM_Supplier	STRING
simo_prod	tc_cdr	tc_udr_usage_records_monthly_imsi_add_data	SIM_Supplier	STRING
