source_table	source_file	sheet_name	month_hint	row_count	imsi_count	min_cycle_start_raw	max_cycle_end_raw	min_final_start_raw	max_final_end_raw	charge_type_count	charge_types_seen
mysql_cdc_sync.wa_invoice_detail	01-SIMO Data Purchase Invoice Details - MAY 2026.xlsx	Detail Charges	2026-05	7887	7494	2026-04-19 00:00:00	2026-06-29 00:00:00	2026-04-24 00:00:00	2026-06-29 00:00:00	6	Credit for Offstocked Card || Full Cycle Charge || New Activation: Prorated-in Charge || Partial Charge - Card Replaced Mid Cycle || Partial Charge - New Card Used as Replacement Mid Cycle || Prorated-out Charge - Offstocked Card
mysql_cdc_sync.wa_invoice_prorated	01-SIMO Data Purchase Invoice Details - MAY 2026.xlsx	Prorated-In APR - Pending Charg	2026-05	9	9	2026-04-02 00:00:00	2026-05-08 00:00:00	2026-04-19 00:00:00	2026-05-08 00:00:00	1	PRORATED
