table_schema	table_name	ordinal_position	column_name	data_type	is_nullable
ods	resource_res_vsim_product	23	loop_using_after_cycle	LONG	YES
ods	resource_res_vsim_product	24	cover_type	LONG	YES
ods	resource_res_vsim_product	25	local_currency	STRING	YES
ods	resource_res_vsim_product	26	monthly_rent	DOUBLE	YES
ods	resource_res_vsim_product	27	monthly_rent_withusd	DOUBLE	YES
ods	resource_res_vsim_product	28	over_flux_package_amount	LONG	YES
ods	resource_res_vsim_product	29	over_flux_package_unit	STRING	YES
ods	resource_res_vsim_product	30	over_flux_package_price_all_countries	STRING	YES
ods	resource_res_vsim_product	31	package_price	DOUBLE	YES
ods	resource_res_vsim_product	32	package_price_withusd	DOUBLE	YES
ods	resource_res_vsim_product	33	pause_monthly_rent	DOUBLE	YES
ods	resource_res_vsim_product	34	pause_monthly_rent_withusd	DOUBLE	YES
ods	resource_res_vsim_product	35	payment_day	LONG	YES
ods	resource_res_vsim_product	36	payment_type	LONG	YES
ods	resource_res_vsim_product	37	pooling	LONG	YES
ods	resource_res_vsim_product	38	pooling_cons_flux	LONG	YES
ods	resource_res_vsim_product	39	price_include_tax	DOUBLE	YES
ods	resource_res_vsim_product	40	price_include_tax_withusd	DOUBLE	YES
ods	resource_res_vsim_product	41	product_name_in_supplier	STRING	YES
ods	resource_res_vsim_product	42	purchase_fee_disposable	DOUBLE	YES
ods	resource_res_vsim_product	43	tax_rate	DOUBLE	YES
ods	resource_res_vsim_product	44	mccs	STRING	YES
ods	resource_res_vsim_product	45	is_local	LONG	YES
ods	resource_res_vsim_product	46	network_type	LONG	YES
ods	resource_res_vsim_product	47	network_standard	LONG	YES
ods	resource_res_vsim_product	48	roam_type	LONG	YES
ods	resource_res_vsim_product	49	sim_type	LONG	YES
ods	resource_res_vsim_product	50	email_notify_id	LONG	YES
ods	resource_res_vsim_product	51	create_by	STRING	YES
ods	resource_res_vsim_product	52	create_time	STRING	YES
ods	resource_res_vsim_product	53	modify_by	STRING	YES
ods	resource_res_vsim_product	54	modify_time	STRING	YES
ods	resource_res_vsim_product	55	countrys	STRING	YES
ods	resource_res_vsim_product	56	balance_currency	STRING	YES
ods	resource_res_vsim_product	57	balance_rate	DOUBLE	YES
ods	resource_res_vsim_product	58	settle_accounts_currency	STRING	YES
ods	resource_res_vsim_product	59	settle_accounts_rate	DOUBLE	YES
ods	resource_res_vsim_product	60	agreement_time_periods_unit	STRING	YES
ods	resource_res_vsim_product	61	over_flow_fee	DOUBLE	YES
ods	resource_res_vsim_product	62	over_flow_fee_unit	STRING	YES
ods	resource_res_vsim_product	63	plmn_sel	STRING	YES
ods	resource_res_vsim_product	64	cover_group_id	LONG	YES
ods	resource_res_vsim_product	65	billing_type	INT	YES
ods	resource_res_vsim_product	66	over_type	INT	YES
ods	resource_res_vsim_product	67	product_category	STRING	YES
ods	resource_res_vsim_product	68	plmns_from_imsi	STRING	YES
ods	resource_res_vsim_product	69	into_db_time	STRING	YES
ods	resource_res_vsim_status_log	0	ID	LONG	YES
ods	resource_res_vsim_status_log	1	PRE_STATUS	STRING	YES
ods	resource_res_vsim_status_log	2	NEXT_STATUS	STRING	YES
ods	resource_res_vsim_status_log	3	DESC_LOG	STRING	YES
ods	resource_res_vsim_status_log	4	CREATE_DATE	TIMESTAMP	YES
ods	resource_res_vsim_status_log	5	OPERATE_USER	STRING	YES
ods	resource_res_vsim_status_log	6	DESCRIPTION	STRING	YES
ods	resource_res_vsim_status_log	7	IMSI	STRING	YES
ods	resource_res_vsim_status_log	8	sync_time	TIMESTAMP	YES
ods	resource_res_vsim_status_log	9	EXT1	STRING	YES
ods	resource_res_vsim_status_log	10	partition_date	STRING	YES
tc_cdr	sim_status_for_sftp_bak	0	imsi	STRING	YES
tc_cdr	sim_status_for_sftp_bak	1	product_id	STRING	YES
tc_cdr	sim_status_for_sftp_bak	2	ICCID	STRING	YES
tc_cdr	sim_status_for_sftp_bak	3	SIM_Product_Threshold	STRING	YES
tc_cdr	sim_status_for_sftp_bak	4	SIM_Product_Data_Capacity	STRING	YES
tc_cdr	sim_status_for_sftp_bak	5	Cycle_Start_Time	STRING	YES
tc_cdr	sim_status_for_sftp_bak	6	Cycle_End_Time	STRING	YES
tc_cdr	sim_status_for_sftp_bak	7	DispatchStatus	STRING	YES
tc_cdr	sim_status_for_sftp_bak	8	SimStatus	STRING	YES
tc_cdr	sim_status_for_sftp_bak	9	year	INT	YES
tc_cdr	sim_status_for_sftp_bak	10	month	INT	YES
tc_cdr	sim_status_for_sftp_bak	11	day	INT	YES
tc_cdr	sim_status_for_sftp_bak	12	hour	INT	YES
tc_cdr	sim_status_for_sftp_bak	13	partition_time	STRING	YES
