table_catalog	table_schema	table_name	ordinal_position	column_name	data_type
simo_prod	mysql_cdc_sync	wa_invoice_detail	7	pct_used	STRING
simo_prod	mysql_cdc_sync	wa_invoice_detail	8	new_activation_date	STRING
simo_prod	mysql_cdc_sync	wa_invoice_detail	9	offstock_date	STRING
simo_prod	mysql_cdc_sync	wa_invoice_detail	10	charge_type	STRING
simo_prod	mysql_cdc_sync	wa_invoice_detail	11	status	STRING
simo_prod	mysql_cdc_sync	wa_invoice_detail	12	new_card_imsi_replacement	STRING
simo_prod	mysql_cdc_sync	wa_invoice_detail	13	old_card_imsi_replaced	STRING
simo_prod	mysql_cdc_sync	wa_invoice_detail	14	final_start_date	STRING
simo_prod	mysql_cdc_sync	wa_invoice_detail	15	final_end_date	STRING
simo_prod	mysql_cdc_sync	wa_invoice_detail	16	active_days	STRING
simo_prod	mysql_cdc_sync	wa_invoice_detail	17	usage_days	STRING
simo_prod	mysql_cdc_sync	wa_invoice_detail	18	usage_days_alt	STRING
simo_prod	mysql_cdc_sync	wa_invoice_detail	19	usage_days_gt_active	STRING
simo_prod	mysql_cdc_sync	wa_invoice_detail	20	final_days	STRING
simo_prod	mysql_cdc_sync	wa_invoice_detail	21	monthly_rate	STRING
simo_prod	mysql_cdc_sync	wa_invoice_detail	22	final_charge	STRING
simo_prod	mysql_cdc_sync	wa_invoice_detail	23	transferred_to_wing_simbank	STRING
simo_prod	mysql_cdc_sync	wa_invoice_detail	24	note	STRING
simo_prod	mysql_cdc_sync	wa_invoice_detail	25	source_file	STRING
simo_prod	mysql_cdc_sync	wa_invoice_detail	26	sheet_name	STRING
simo_prod	mysql_cdc_sync	wa_invoice_prorated	0	imsi	STRING
simo_prod	mysql_cdc_sync	wa_invoice_prorated	1	iccid	STRING
simo_prod	mysql_cdc_sync	wa_invoice_prorated	2	product_name	STRING
simo_prod	mysql_cdc_sync	wa_invoice_prorated	3	cycle_start_date	STRING
simo_prod	mysql_cdc_sync	wa_invoice_prorated	4	cycle_end_date	STRING
simo_prod	mysql_cdc_sync	wa_invoice_prorated	5	data_allowance_gb	STRING
simo_prod	mysql_cdc_sync	wa_invoice_prorated	6	new_activation_date	STRING
simo_prod	mysql_cdc_sync	wa_invoice_prorated	7	final_start_date	STRING
simo_prod	mysql_cdc_sync	wa_invoice_prorated	8	final_end_date	STRING
simo_prod	mysql_cdc_sync	wa_invoice_prorated	9	active_days	STRING
simo_prod	mysql_cdc_sync	wa_invoice_prorated	10	monthly_rate	STRING
simo_prod	mysql_cdc_sync	wa_invoice_prorated	11	original_charge	STRING
simo_prod	mysql_cdc_sync	wa_invoice_prorated	12	cycle_usage_gb	STRING
simo_prod	mysql_cdc_sync	wa_invoice_prorated	13	usage_days	STRING
simo_prod	mysql_cdc_sync	wa_invoice_prorated	14	final_charge_for_usage_days	STRING
simo_prod	mysql_cdc_sync	wa_invoice_prorated	15	pending_charge	STRING
simo_prod	mysql_cdc_sync	wa_invoice_prorated	16	source_file	STRING
simo_prod	mysql_cdc_sync	wa_invoice_prorated	17	sheet_name	STRING
simo_prod	ods	resource_res_carrier	0	ID	LONG
simo_prod	ods	resource_res_carrier	1	CARRIER_NAME	STRING
simo_prod	ods	resource_res_carrier	2	PHONE	STRING
simo_prod	ods	resource_res_carrier	3	CARRIER_TYPE	INT
simo_prod	ods	resource_res_carrier	4	MNO_TYPE	INT
simo_prod	ods	resource_res_carrier	5	ACTUAL_MNO_ID	LONG
simo_prod	ods	resource_res_carrier	6	MNO_NAME_LANG_PKG	STRING
simo_prod	ods	resource_res_carrier	7	DESCRIPTION	STRING
simo_prod	ods	resource_res_carrier	8	COUNTRY_CODE	STRING
simo_prod	ods	resource_res_carrier	9	mcc	INT
simo_prod	ods	resource_res_carrier	10	WEB_SITE	STRING
simo_prod	ods	resource_res_carrier	11	group_id	LONG
simo_prod	ods	resource_res_carrier	12	simple_carrier_name	STRING
simo_prod	ods	resource_res_carrier	13	account_address	STRING
simo_prod	ods	resource_res_carrier	14	account_bank_address	STRING
simo_prod	ods	resource_res_carrier	15	account_bank_name	STRING
simo_prod	ods	resource_res_carrier	16	account_name	STRING
simo_prod	ods	resource_res_carrier	17	account_no	STRING
simo_prod	ods	resource_res_carrier	18	address	STRING
simo_prod	ods	resource_res_carrier	19	contact	STRING
simo_prod	ods	resource_res_carrier	20	email	STRING
simo_prod	ods	resource_res_carrier	21	owner	STRING
simo_prod	ods	resource_res_carrier	22	swift_code	STRING
simo_prod	ods	resource_res_carrier	23	region_id	LONG
simo_prod	ods	resource_res_carrier	24	mncs	STRING
simo_prod	ods	resource_res_carrier	25	status	INT
simo_prod	ods	resource_res_carrier	26	create_by	STRING
simo_prod	ods	resource_res_carrier	27	create_time	TIMESTAMP
simo_prod	ods	resource_res_carrier	28	modify_by	STRING
simo_prod	ods	resource_res_carrier	29	modify_time	TIMESTAMP
simo_prod	ods	resource_res_carrier	30	ppci_n	STRING
simo_prod	ods	resource_res_carrier	31	dt	TIMESTAMP
simo_prod	ods	resource_res_vsim_cycle_history	0	imsi	STRING
simo_prod	ods	resource_res_vsim_cycle_history	1	product_id	LONG
simo_prod	ods	resource_res_vsim_cycle_history	2	cycle_time	TIMESTAMP
simo_prod	ods	resource_res_vsim_cycle_history	3	next_cycle_time	TIMESTAMP
simo_prod	ods	resource_res_vsim_cycle_history	4	CONS_FLUX_KB	LONG
simo_prod	ods	resource_res_vsim_cycle_history	5	cycle_total_flow	LONG
simo_prod	ods	resource_res_vsim_cycle_history	6	usage_of_percentage	DOUBLE
simo_prod	ods	resource_res_vsim_cycle_history	7	create_time	TIMESTAMP
simo_prod	ods	resource_res_vsim_cycle_history	8	package_price	DOUBLE
simo_prod	ods	resource_res_vsim_cycle_history	9	time_zone	STRING
simo_prod	ods	resource_res_vsim_product	0	product_id	STRING
simo_prod	ods	resource_res_vsim_product	1	product_name	STRING
simo_prod	ods	resource_res_vsim_product	2	service	INT
simo_prod	ods	resource_res_vsim_product	3	description	STRING
simo_prod	ods	resource_res_vsim_product	4	init_flux	STRING
simo_prod	ods	resource_res_vsim_product	5	carrier_id	LONG
