table_schema	table_name	ordinal_position	column_name	data_type
ods	resource_res_vsim_status_log	4	CREATE_DATE	TIMESTAMP
ods	resource_res_vsim_status_log	5	OPERATE_USER	STRING
ods	resource_res_vsim_status_log	6	DESCRIPTION	STRING
ods	resource_res_vsim_status_log	7	IMSI	STRING
ods	resource_res_vsim_status_log	8	sync_time	TIMESTAMP
ods	resource_res_vsim_status_log	9	EXT1	STRING
ods	resource_res_vsim_status_log	10	partition_date	STRING
tc_cdr	sim_status_for_sftp_bak	0	imsi	STRING
tc_cdr	sim_status_for_sftp_bak	1	product_id	STRING
tc_cdr	sim_status_for_sftp_bak	2	ICCID	STRING
tc_cdr	sim_status_for_sftp_bak	3	SIM_Product_Threshold	STRING
tc_cdr	sim_status_for_sftp_bak	4	SIM_Product_Data_Capacity	STRING
tc_cdr	sim_status_for_sftp_bak	5	Cycle_Start_Time	STRING
tc_cdr	sim_status_for_sftp_bak	6	Cycle_End_Time	STRING
tc_cdr	sim_status_for_sftp_bak	7	DispatchStatus	STRING
tc_cdr	sim_status_for_sftp_bak	8	SimStatus	STRING
tc_cdr	sim_status_for_sftp_bak	9	year	INT
tc_cdr	sim_status_for_sftp_bak	10	month	INT
tc_cdr	sim_status_for_sftp_bak	11	day	INT
tc_cdr	sim_status_for_sftp_bak	12	hour	INT
tc_cdr	sim_status_for_sftp_bak	13	partition_time	STRING
