official_excel_billing_month	charge_type	excel_row_count	excel_imsi_count	excel_total	platform_calculated_total	amount_diff_total	amount_abs_diff_total	excel_days_total	platform_days_total	day_diff_total	day_abs_diff_total	platform_days_population	platform_price_population	platform_amount_population	matched_count	wa_only_count	platform_only_count	unresolved_count	missing_data_count	missing_mapping_count	product_name_mismatch_mapping_count	product_name_exact_only_count	day_exact_count	price_exact_count	amount_exact_count
2026-03	Credit for Offstocked Card	8	8	-170.4999999997	-301.142856	-130.642855	130.642855	147.0000000000	136.0000000000	-11.000000000	11.000000000	8	8	8	0	0	0	8	0	0	8	0	7	8	0
2026-03	Full Cycle Charge	6164	6164	324001.0000000000	300175.000000	-23826.000000	23826.000000	191084.0000000000	186852.0000000000	-4232.000000000	4232.000000000	6164	6164	6164	4604	0	0	1275	0	285	2498	3666	6018	4910	4910
2026-03	Full Cycle Charge - Backbilled for FEB Invoice	269	269	12371.0000000000	12295.000000	-76.000000	76.000000	7532.0000000000	7532.0000000000	0E-9	0E-9	269	269	269	265	0	0	0	0	4	128	141	269	265	265
2026-03	New Activation: Prorated-in Charge	1229	1229	33640.6774193462	31655.366382	-1985.311047	1985.311047	19804.0000000000	18627.0000000000	-1177.000000000	1177.000000000	1229	1229	1229	67	0	0	45	479	638	157	1072	1056	1229	1056
2026-03	Offstocked before cycle start	1	1									0	0	0	0	1	0	0	0	0	0	0	0	0	0
2026-03	Partial Charge - Card Replaced Mid Cycle	496	496	7327.7419354871	7284.700489	-43.041475	60.184331	4886.0000000000	4851.0000000000	-35.000000000	35.000000000	496	496	496	0	0	0	0	0	496	35	461	489	496	487
2026-03	Prorated Out - Transferred to Wing's Simbank	4901	4901	200751.2903225814	194109.539564	-4533.750734	4550.589444	103081.0000000000	100941.0000000000	-2140.000000000	2140.000000000	4901	4867	4867	0	0	0	0	34	4867	4441	460	4352	4770	4126
2026-03	Prorated-out Charge - Offstocked Card	14	14	485.0967741935	485.096774	0.000000	0.000000	245.0000000000	245.0000000000	0E-9	0E-9	14	14	14	14	0	0	0	0	0	13	1	14	14	14
2026-04	Full Cycle Charge	7025	7025	355210.0000000000	341910.000000	-13300.000000	13300.000000	210764.0000000000	210735.0000000000	-29.000000000	29.000000000	7025	7025	7025	5254	0	0	701	0	1070	1632	5393	7024	6325	6325
2026-04	New Activation: Prorated-in Charge	706	706	16597.5408602118	16012.535469	-210.938707	222.497847	9158.0000000000	9028.0000000000	-130.000000000	130.000000000	706	679	679	2	0	0	1	356	347	0	706	674	679	636
2026-04	Partial Charge - Card Replaced Mid Cycle	49	49	481.7666666662	421.533326	-60.233336	60.233336	280.0000000000	272.0000000000	-8.000000000	8.000000000	49	49	49	0	0	0	0	0	49	6	43	46	43	40
2026-05	Credit for Offstocked Card	2	2	-51.6000000000	-34.400000	17.200000	22.933332	24.0000000000	24.0000000000	0E-9	0E-9	2	2	2	0	0	0	1	0	1	1	1	2	2	0
2026-05	Full Cycle Charge	7251	7251	371255.0000000000	356281.000000	-13300.000000	13300.000000	224781.0000000000	224693.0000000000	-88.000000000	88.000000000	7251	7224	7224	6305	0	0	788	27	131	700	6551	7163	6524	6524
2026-05	New Activation: Prorated-in Charge	200	200	4340.0000000000	4340.000000	0.000000	0.000000	2100.0000000000	2100.0000000000	0E-9	0E-9	200	200	200	200	0	0	0	0	0	0	200	200	200	200
2026-05	Partial Charge - Card Replaced Mid Cycle	30	30	665.8064516130	665.806440	0.000000	0.000000	480.0000000000	480.0000000000	0E-9	0E-9	30	30	30	0	0	0	0	0	30	0	30	30	30	30
2026-05	Partial Charge - New Card Used as Replacement Mid Cycle	402	402	13479.7462365579	13422.620415	-57.125807	57.125807	7400.0000000000	7360.0000000000	-40.000000000	40.000000000	402	402	402	0	0	0	0	0	402	0	402	390	402	390
2026-05	Prorated-out Charge - Offstocked Card	2	2	112.0000000000	112.000000	0.000000	0.000000	56.0000000000	56.0000000000	0E-9	0E-9	2	2	2	0	0	0	0	2	0	0	2	2	2	2
