record_type	local_excel_file	local_relative_path	sheet_name	sheet_role	platform_source_table	platform_source_file	invoice_batch_label	observed_start_month	platform_observed_start_month	observed_cycle_start_month	observed_cycle_end_month	local_row_count	platform_row_count	row_count_diff	local_distinct_imsi	platform_distinct_imsi	imsi_count_diff	local_excel_amount	platform_total_excel_amount	amount_diff_local_minus_platform	local_aux_amount	platform_total_aux_amount	local_price_sum	platform_total_price	local_embedded_filename_amount	platform_filename_amount	platform_filename_amount_diff	local_amount_minus_embedded_filename_amount	local_parent_folder_amount	local_amount_minus_parent_folder_amount	file_mapping_status	data_match_status	amount_comparison_semantics	conflict_reason	note
PLATFORM_MATCH	01-SIMO Data Purchase Invoice Details - FEB 2026.xlsx	2026年3月\WingAlpha-2026年3月付；USD693,915.21\01-SIMO Data Purchase Invoice Details - FEB 2026.xlsx	Prorated-In JAN - Pending Charg	prorated	simo_prod.mysql_cdc_sync.wa_invoice_prorated	01-SIMO Data Purchase Invoice Details - FEB 2026.xlsx	2026-02	2026-01	2026-01			359	359	0	359	359	0	14688.096774193551	14688.096774193551	0	3342.483870967763	3342.483870967763	16957	16957					693915.209999999963	-679227.113225806388	RAW_FILENAME_MATCH	MATCHED	prorated auxiliary amount not comparable to invoice-level filename amount		platform source_file matched after NFKC/space normalization
PLATFORM_MATCH	01-SIMO Data Purchase Invoice Details - MAR 2026.xlsx	2026年4月\WingAlpha-2026年4月付；USD579,471.47\01-SIMO Data Purchase Invoice Details - MAR 2026.xlsx	Detail Charges	detail	simo_prod.mysql_cdc_sync.wa_invoice_detail	01-SIMO Data Purchase Invoice Details - MAR 2026.xlsx	2026-03	2026-02,2026-03	2026-02,2026-03			13082	13082	0	12763	12763	0	578406.306451616343	578406.306451616343	0	0		724024	724024					579471.469999999972	-1065.163548383629	RAW_FILENAME_MATCH	MATCHED	prorated auxiliary amount not comparable to invoice-level filename amount		platform source_file matched after NFKC/space normalization
PLATFORM_MATCH	01-SIMO Data Purchase Invoice Details - MAR 2026.xlsx	2026年4月\WingAlpha-2026年4月付；USD579,471.47\01-SIMO Data Purchase Invoice Details - MAR 2026.xlsx	Prorated-In FEB - Pending Charg	prorated	simo_prod.mysql_cdc_sync.wa_invoice_prorated	01-SIMO Data Purchase Invoice Details - MAR 2026.xlsx	2026-03	2026-02	2026-02			127	127	0	127	127	0	3686.928571428574	3686.928571428574	0	1065.168571428572	1065.168571428572	5651	5651					579471.469999999972	-575784.541428571451	RAW_FILENAME_MATCH	MATCHED	prorated auxiliary amount not comparable to invoice-level filename amount		platform source_file matched after NFKC/space normalization
PLATFORM_MATCH	01-SIMO Data Purchase Invoice Details - APR 2026.xlsx	2026年5月\WingAlpha-2026年5月付；USD374,480.38\01-SIMO Data Purchase Invoice Details - APR 2026.xlsx	Detail Charges	detail	simo_prod.mysql_cdc_sync.wa_invoice_detail	01-SIMO Data Purchase Invoice Details - APR 2026.xlsx	2026-04	2026-04	2026-04			7780	7780	0	7317	7317	0	372289.307526881399	372289.307526881399	0	0		398011	398011					374480.380000000005	-2191.072473118606	RAW_FILENAME_MATCH	MATCHED	prorated auxiliary amount not comparable to invoice-level filename amount		platform source_file matched after NFKC/space normalization
PLATFORM_MATCH	01-SIMO Data Purchase Invoice Details - APR 2026.xlsx	2026年5月\WingAlpha-2026年5月付；USD374,480.38\01-SIMO Data Purchase Invoice Details - APR 2026.xlsx	Prorated-In MAR - Pending Charg	prorated	simo_prod.mysql_cdc_sync.wa_invoice_prorated	01-SIMO Data Purchase Invoice Details - APR 2026.xlsx	2026-04	2026-03	2026-03			284	284	0	284	284	0	9827.387096774204	9827.387096774204	0	2191.067096774194	2191.067096774194	15442	15442					374480.380000000005	-364652.992903225822	RAW_FILENAME_MATCH	MATCHED	prorated auxiliary amount not comparable to invoice-level filename amount		platform source_file matched after NFKC/space normalization
PLATFORM_MATCH	01-SIMO Data Purchase Invoice Details - MAY 2026.xlsx	2026年6月\WingAlpha-2026年6月付；USD389,842.49\01-SIMO Data Purchase Invoice Details - MAY 2026.xlsx	Detail Charges	detail	simo_prod.mysql_cdc_sync.wa_invoice_detail	01-SIMO Data Purchase Invoice Details - MAY 2026.xlsx	2026-05	2026-04,2026-05	2026-04,2026-05			7887	7887	0	7494	7494	0	389800.952688174613	389800.952688174613	0	0		407115	407115					389842.489999999991	-41.537311825377	RAW_FILENAME_MATCH	MATCHED	prorated auxiliary amount not comparable to invoice-level filename amount		platform source_file matched after NFKC/space normalization
PLATFORM_MATCH	01-SIMO Data Purchase Invoice Details - MAY 2026.xlsx	2026年6月\WingAlpha-2026年6月付；USD389,842.49\01-SIMO Data Purchase Invoice Details - MAY 2026.xlsx	Prorated-In APR - Pending Charg	prorated	simo_prod.mysql_cdc_sync.wa_invoice_prorated	01-SIMO Data Purchase Invoice Details - MAY 2026.xlsx	2026-05	2026-04	2026-04			9	9	0	9	9	0	298.766666666667	298.766666666667	0	41.526666666667	41.526666666667	482	482					389842.489999999991	-389543.723333333328	RAW_FILENAME_MATCH	MATCHED	prorated auxiliary amount not comparable to invoice-level filename amount		platform source_file matched after NFKC/space normalization
PLATFORM_MATCH	01-SIMO Data Purchase Invoice Details - JUNE 2026.xlsx	2026年7月\WingAlpha-2026年7月付；USD382,329.72\01-SIMO Data Purchase Invoice Details - JUNE 2026.xlsx	Detail Charges	detail	simo_prod.mysql_cdc_sync.wa_invoice_detail	01-SIMO Data Purchase Invoice Details - JUNE 2026.xlsx	2026-06	2026-06	2026-06			7598	7598	0	7469	7469	0	382329.720430107787	382329.720430107787	0	0		388076	388076					382329.719999999972	0.000430107815	RAW_FILENAME_MATCH	MATCHED	prorated auxiliary amount not comparable to invoice-level filename amount		platform source_file matched after NFKC/space normalization
PLATFORM_MATCH	01-SIMO Data Purchase Invoice Details - JULY 2026.xlsx	2026年8月\WingAlpha-2026年8月付；USD373,928.34\01-SIMO Data Purchase Invoice Details - JULY 2026.xlsx	Detail Charges	detail	simo_prod.mysql_cdc_sync.wa_invoice_detail	01-SIMO Data Purchase Invoice Details - JULY 2026.xlsx	2026-07	2026-07	2026-07			7537	7537	0	7472	7472	0	373918.313978496881	373918.313978496881	0	0		375953	375953					373928.340000000026	-10.026021503145	RAW_FILENAME_MATCH	MATCHED	prorated auxiliary amount not comparable to invoice-level filename amount		platform source_file matched after NFKC/space normalization
PLATFORM_MATCH	01-SIMO Data Purchase Invoice Details - JULY 2026.xlsx	2026年8月\WingAlpha-2026年8月付；USD373,928.34\01-SIMO Data Purchase Invoice Details - JULY 2026.xlsx	Prorated-In JUN - Pending Charg	prorated	simo_prod.mysql_cdc_sync.wa_invoice_prorated	01-SIMO Data Purchase Invoice Details - JULY 2026.xlsx	2026-07	2026-06	2026-06			4	4	0	4	4	0	141.9	141.9	0	10.02	10.02	172	172					373928.340000000026	-373786.440000000002	RAW_FILENAME_MATCH	MATCHED	prorated auxiliary amount not comparable to invoice-level filename amount		platform source_file matched after NFKC/space normalization
PLATFORM_MATCH	SIMO Data Purchase Invoice Details - AUGUST 2026.xlsx	2026年9月\WingAlpha-2026年9月付；USD\SIMO Data Purchase Invoice Details - AUGUST 2026.xlsx	Detail Charges	detail	simo_prod.mysql_cdc_sync.wa_invoice_detail	SIMO Data Purchase Invoice Details - AUGUST 2026.xlsx	2026-08	2026-08	2026-08			7536	7536	0	7508	7508	0	364846.612903225527	364846.612903225527	0	0		375967	375967							RAW_FILENAME_MATCH	MATCHED	prorated auxiliary amount not comparable to invoice-level filename amount		platform source_file matched after NFKC/space normalization
PLATFORM_MATCH	SIMO Data Purchase Invoice Details - AUGUST 2026.xlsx	2026年9月\WingAlpha-2026年9月付；USD\SIMO Data Purchase Invoice Details - AUGUST 2026.xlsx	Prorated-In JUL - Pending Charg	prorated	simo_prod.mysql_cdc_sync.wa_invoice_prorated	SIMO Data Purchase Invoice Details - AUGUST 2026.xlsx	2026-08	2026-07	2026-07			3	3	0	3	3	0	127.612903225806	127.612903225806	0	4.162903226	4.162903226	129	129							RAW_FILENAME_MATCH	MATCHED	prorated auxiliary amount not comparable to invoice-level filename amount		platform source_file matched after NFKC/space normalization
