table_schema	table_name	column_name	data_type	ordinal_position
ods	resource_res_vsim_status_log	CREATE_DATE	TIMESTAMP	4
ods	resource_res_vsim_status_log	OPERATE_USER	STRING	5
ods	resource_res_vsim_status_log	DESCRIPTION	STRING	6
ods	resource_res_vsim_status_log	IMSI	STRING	7
ods	resource_res_vsim_status_log	sync_time	TIMESTAMP	8
ods	resource_res_vsim_status_log	EXT1	STRING	9
ods	resource_res_vsim_status_log	partition_date	STRING	10
tc_cdr	sim_status_for_sftp_bak	imsi	STRING	0
tc_cdr	sim_status_for_sftp_bak	product_id	STRING	1
tc_cdr	sim_status_for_sftp_bak	ICCID	STRING	2
tc_cdr	sim_status_for_sftp_bak	SIM_Product_Threshold	STRING	3
tc_cdr	sim_status_for_sftp_bak	SIM_Product_Data_Capacity	STRING	4
tc_cdr	sim_status_for_sftp_bak	Cycle_Start_Time	STRING	5
tc_cdr	sim_status_for_sftp_bak	Cycle_End_Time	STRING	6
tc_cdr	sim_status_for_sftp_bak	DispatchStatus	STRING	7
tc_cdr	sim_status_for_sftp_bak	SimStatus	STRING	8
tc_cdr	sim_status_for_sftp_bak	year	INT	9
tc_cdr	sim_status_for_sftp_bak	month	INT	10
tc_cdr	sim_status_for_sftp_bak	day	INT	11
tc_cdr	sim_status_for_sftp_bak	hour	INT	12
tc_cdr	sim_status_for_sftp_bak	partition_time	STRING	13
