local_excel_file	local_relative_path	sheet_name	all_sheet_names	nonempty_row_count	max_nonempty_column_count	first_nonempty_row	sheet_class
01-SIMO Data Purchase Invoice Details - MAR 2026.xlsx	2026年4月\WingAlpha-2026年4月付；USD579,471.47\01-SIMO Data Purchase Invoice Details - MAR 2026.xlsx	Charges Summary	Charges Summary || Detail Charges || Prorated-In FEB - Pending Charg	34	8	CHARGES SUMMARY;;;;;;;	summary_or_auxiliary
01-SIMO Data Purchase Invoice Details - MAR 2026.xlsx	2026年4月\WingAlpha-2026年4月付；USD579,471.47\01-SIMO Data Purchase Invoice Details - MAR 2026.xlsx	Detail Charges	Charges Summary || Detail Charges || Prorated-In FEB - Pending Charg	13083	19	IMSI;Product Name;Cycle Start Date;Cycle End Date;Cycle Usage (GB);Data Allowance (GB);% Used;New Activation Date;Offstock Date;Charge Type;Final Start Date;Final End Date;# of Active Days;Usage Days;Final # of Days for Proration;Monthly Rate;Final Charge;Transferred To Wing Simbank;Note	data_source_sheet
01-SIMO Data Purchase Invoice Details - MAR 2026.xlsx	2026年4月\WingAlpha-2026年4月付；USD579,471.47\01-SIMO Data Purchase Invoice Details - MAR 2026.xlsx	Prorated-In FEB - Pending Charg	Charges Summary || Detail Charges || Prorated-In FEB - Pending Charg	128	15	IMSI;Product Name;Cycle Start Date;Cycle End Date;Data Allowance (GB);New Activation Date;Final Start Date;Final End Date;# of Active Days;Monthly Rate;Original Charge in FEB Invoice;Cycle Usage (GB);Usage Days;Final Charge For Usage Days;Pending Charge	data_source_sheet
01-SIMO Data Purchase Invoice Details - APR 2026.xlsx	2026年5月\WingAlpha-2026年5月付；USD374,480.38\01-SIMO Data Purchase Invoice Details - APR 2026.xlsx	Charges Summary	Charges Summary || Detail Charges || Prorated-In MAR - Pending Charg	22	8	CHARGES SUMMARY;;;;;;;	summary_or_auxiliary
01-SIMO Data Purchase Invoice Details - APR 2026.xlsx	2026年5月\WingAlpha-2026年5月付；USD374,480.38\01-SIMO Data Purchase Invoice Details - APR 2026.xlsx	Detail Charges	Charges Summary || Detail Charges || Prorated-In MAR - Pending Charg	7781	18	IMSI;Product Name;Cycle Start Date;Cycle End Date;Cycle Usage (GB);Data Allowance (GB);% Used;New Activation Date;Offstock Date;Charge Type;Final Start Date;Final End Date;# of Active Days;Usage Days;Final # of Days for Proration;Monthly Rate;Final Charge;Note	data_source_sheet
01-SIMO Data Purchase Invoice Details - APR 2026.xlsx	2026年5月\WingAlpha-2026年5月付；USD374,480.38\01-SIMO Data Purchase Invoice Details - APR 2026.xlsx	Prorated-In MAR - Pending Charg	Charges Summary || Detail Charges || Prorated-In MAR - Pending Charg	285	15	IMSI;Product Name;Cycle Start Date;Cycle End Date;Data Allowance (GB);New Activation Date;Final Start Date;Final End Date;# of Active Days;Monthly Rate;Original Charge in MAR Invoice;Cycle Usage (GB);Usage Days;Final Charge For Usage Days;Pending Charge	data_source_sheet
01-SIMO Data Purchase Invoice Details - MAY 2026.xlsx	2026年6月\WingAlpha-2026年6月付；USD389,842.49\01-SIMO Data Purchase Invoice Details - MAY 2026.xlsx	Charges Summary	Charges Summary || Detail Charges || Prorated-In APR - Pending Charg	27	8	CHARGES SUMMARY;;;;;;;	summary_or_auxiliary
01-SIMO Data Purchase Invoice Details - MAY 2026.xlsx	2026年6月\WingAlpha-2026年6月付；USD389,842.49\01-SIMO Data Purchase Invoice Details - MAY 2026.xlsx	Detail Charges	Charges Summary || Detail Charges || Prorated-In APR - Pending Charg	7888	20	IMSI;Product Name;Cycle Start Date;Cycle End Date;Cycle Usage (GB);Data Allowance (GB);% Used;New Activation Date;Offstock Date;Charge Type;Status;New Card IMSI (Replacement);Old Card IMSI (Replaced);Final Start Date;Final End Date;# of Active Days;Usage Days;Final # of Days for Proration;Monthly Rate;Final Charge	data_source_sheet
01-SIMO Data Purchase Invoice Details - MAY 2026.xlsx	2026年6月\WingAlpha-2026年6月付；USD389,842.49\01-SIMO Data Purchase Invoice Details - MAY 2026.xlsx	Prorated-In APR - Pending Charg	Charges Summary || Detail Charges || Prorated-In APR - Pending Charg	10	15	IMSI;Product Name;Cycle Start Date;Cycle End Date;Data Allowance (GB);New Activation Date;Final Start Date;Final End Date;# of Active Days;Monthly Rate;Original Charge in APR Invoice;Cycle Usage (GB);Usage Days;Final Charge For Usage Days;Pending Charge	data_source_sheet
01-SIMO Data Purchase Invoice Details - JUNE 2026.xlsx	2026年7月\WingAlpha-2026年7月付；USD382,329.72\01-SIMO Data Purchase Invoice Details - JUNE 2026.xlsx	Charges Summary	Charges Summary || Detail Charges	23	8	CHARGES SUMMARY;;;;;;;	summary_or_auxiliary
01-SIMO Data Purchase Invoice Details - JUNE 2026.xlsx	2026年7月\WingAlpha-2026年7月付；USD382,329.72\01-SIMO Data Purchase Invoice Details - JUNE 2026.xlsx	Detail Charges	Charges Summary || Detail Charges	7599	20	IMSI;Product Name;Cycle Start Date;Cycle End Date;Cycle Usage (GB);Data Allowance (GB);% Used;New Activation Date;Offstock Date;Charge Type;Status;New Card IMSI (Replacement);Old Card IMSI (Replaced);Final Start Date;Final End Date;# of Active Days;Usage Days;Final # of Days for Proration;Monthly Rate;Final Charge	data_source_sheet
01-SIMO Data Purchase Invoice Details - JULY 2026.xlsx	2026年8月\WingAlpha-2026年8月付；USD373,928.34\01-SIMO Data Purchase Invoice Details - JULY 2026.xlsx	Charges Summary	Charges Summary || Detail Charges || Prorated-In JUN - Pending Charg	28	8	CHARGES SUMMARY;;;;;;;	summary_or_auxiliary
01-SIMO Data Purchase Invoice Details - JULY 2026.xlsx	2026年8月\WingAlpha-2026年8月付；USD373,928.34\01-SIMO Data Purchase Invoice Details - JULY 2026.xlsx	Detail Charges	Charges Summary || Detail Charges || Prorated-In JUN - Pending Charg	7538	20	IMSI;Product Name;Cycle Start Date;Cycle End Date;Cycle Usage (GB);Data Allowance (GB);% Used;New Activation Date;Offstock Date;Charge Type;Status;New Card IMSI (Replacement);Old Card IMSI (Replaced);Final Start Date;Final End Date;# of Active Days;Usage Days;Final # of Days for Proration;Monthly Rate;Final Charge	data_source_sheet
01-SIMO Data Purchase Invoice Details - JULY 2026.xlsx	2026年8月\WingAlpha-2026年8月付；USD373,928.34\01-SIMO Data Purchase Invoice Details - JULY 2026.xlsx	Prorated-In JUN - Pending Charg	Charges Summary || Detail Charges || Prorated-In JUN - Pending Charg	5	15	IMSI;Product Name;Cycle Start Date;Cycle End Date;Data Allowance (GB);New Activation Date;Final Start Date;Final End Date;# of Active Days;Monthly Rate;Original Charge in JUN Invoice;Cycle Usage (GB);Usage Days;Final Charge For Usage Days;Pending Charge	data_source_sheet
SIMO Data Purchase Invoice Details - AUGUST 2026.xlsx	2026年9月\WingAlpha-2026年9月付；USD\SIMO Data Purchase Invoice Details - AUGUST 2026.xlsx	Charges Summary	Charges Summary || Detail Charges || Prorated-In JUL - Pending Charg	35	8	CHARGES SUMMARY;;;;;;;	summary_or_auxiliary
SIMO Data Purchase Invoice Details - AUGUST 2026.xlsx	2026年9月\WingAlpha-2026年9月付；USD\SIMO Data Purchase Invoice Details - AUGUST 2026.xlsx	Detail Charges	Charges Summary || Detail Charges || Prorated-In JUL - Pending Charg	7537	20	IMSI;Product Name;Cycle Start Date;Cycle End Date;Cycle Usage (GB);Data Allowance (GB);% Used;New Activation Date;Offstock Date;Charge Type;Status;New Card IMSI (Replacement);Old Card IMSI (Replaced);Final Start Date;Final End Date;# of Active Days;Usage Days;Final # of Days for Proration;Monthly Rate;Final Charge	data_source_sheet
SIMO Data Purchase Invoice Details - AUGUST 2026.xlsx	2026年9月\WingAlpha-2026年9月付；USD\SIMO Data Purchase Invoice Details - AUGUST 2026.xlsx	Prorated-In JUL - Pending Charg	Charges Summary || Detail Charges || Prorated-In JUL - Pending Charg	4	15	IMSI;Product Name;Cycle Start Date;Cycle End Date;Data Allowance (GB);New Activation Date;Final Start Date;Final End Date;# of Active Days;Monthly Rate;Original Charge in JUL Invoice;Cycle Usage (GB);Usage Days;Final Charge For Usage Days;Pending Charge	data_source_sheet
