reconciliation_billing_month	excel_row_count	excel_distinct_imsi_count	excel_total_final_charge	platform_calculated_amount_known_total	platform_total	platform_total_status	known_amount_diff	candidate_row_amount_diff_total	candidate_row_amount_abs_diff_total	proven_mapping_row_count	proven_mapping_distinct_imsi_count	platform_days_population	platform_price_population	platform_amount_population	day_exact_row_count	price_exact_row_count	amount_exact_row_count	numeric_match_row_count	numeric_match_distinct_imsi_count	formal_matched_row_count	formal_matched_distinct_imsi_count	numeric_match_only_row_count	numeric_match_only_distinct_imsi_count	wa_only_row_count	wa_only_distinct_imsi_count	platform_only_row_count	platform_only_distinct_imsi_count	unresolved_row_count	unresolved_distinct_imsi_count	missing_data_row_count	missing_data_distinct_imsi_count	missing_mapping_row_count	missing_mapping_distinct_imsi_count
2025-12	12185	12110	704839.3537634288	553619.935472		UNRESOLVED	-151219.418291	-24153.300000	25521.300000	9429	9354	12173	12138	12138	12146	10795	10793	10768	10695	9287	9287	0	0	12	12	4659	4328	2	2	140	140	2744	2744
2026-02	12572	12309	690572.7235023013	551842.000000		UNRESOLVED	-138730.723502	-30182.431326	30182.431326	10223	10036	12568	12533	12443	11990	11126	10787	10605	10513	9474	9474	0	0	4	4	3877	3437	272	272	474	474	2348	2272
