sample_no	sample_type	sample_key_fields	base_key_fields	full_lifecycle_key_fields	common_fields_key_fields	imsi	detail_source_file	prorated_source_file	detail_product_name	prorated_product_name	detail_cycle_start	prorated_cycle_start	detail_cycle_end	prorated_cycle_end	detail_final_start	prorated_final_start	detail_final_end	prorated_final_end	detail_charge_type	detail_final_days	prorated_usage_days	detail_monthly_rate	prorated_monthly_rate	detail_final_charge	prorated_final_charge_for_usage_days	prorated_pending_charge	source_file_equal	cycle_window_equal	final_window_equal	product_equal	monthly_rate_equal	detail_minus_prorated_amount	detail_minus_prorated_plus_pending	record_context_classification	amount_semantics_note
11	IMSI_ONLY_OVERLAP_SAMPLE	imsi	source_file|imsi|cycle_start|cycle_end	source_file|imsi|cycle_start|cycle_end|final_start|final_end	source_file|imsi|product_name|cycle_start|cycle_end|final_start|final_end|monthly_rate	083901144045426123	01-SIMO Data Purchase Invoice Details - APR 2026.xlsx	01-SIMO Data Purchase Invoice Details - MAY 2026.xlsx	ATT 300GB Plan DI CA (WA)	ATT 300GB Plan DI CA (WA)	2026-04-02	2026-04-02	2026-05-01	2026-05-01	2026-04-20	2026-04-20	2026-05-01	2026-05-01	New Activation: Prorated-in Charge	14.000000000000	15.000000000000	62.000000000000	62.000000000000	28.933333333333	31.000000000000	2.070000000000	DIFFERENT	EQUAL	EQUAL	EQUAL	EQUAL	-2.066667	-4.136667	IMSI_ONLY_OVERLAP_DIFFERENT_RECORD_CONTEXT	detail.final_charge and prorated.final_charge_for_usage_days are different amount semantics; pending_charge is prorated auxiliary amount. Do not union or deduplicate by IMSI alone.
12	IMSI_ONLY_OVERLAP_SAMPLE	imsi	source_file|imsi|cycle_start|cycle_end	source_file|imsi|cycle_start|cycle_end|final_start|final_end	source_file|imsi|product_name|cycle_start|cycle_end|final_start|final_end|monthly_rate	083901144052166453	01-SIMO Data Purchase Invoice Details - APR 2026.xlsx	01-SIMO Data Purchase Invoice Details - MAR 2026.xlsx	AT&T 125GB Plan ATM RA (WA)	AT&T 125GB Plan ATM RA (WA)	2026-04-04	2026-02-04	2026-05-03	2026-03-03	2026-04-04	2026-02-24	2026-05-03	2026-03-03	Full Cycle Charge	30.000000000000	21.000000000000	43.000000000000	43.000000000000	43.000000000000	32.250000000000	3.070000000000	DIFFERENT	DIFFERENT	DIFFERENT	EQUAL	EQUAL	10.750000	7.680000	IMSI_ONLY_OVERLAP_DIFFERENT_RECORD_CONTEXT	detail.final_charge and prorated.final_charge_for_usage_days are different amount semantics; pending_charge is prorated auxiliary amount. Do not union or deduplicate by IMSI alone.
13	IMSI_ONLY_OVERLAP_SAMPLE	imsi	source_file|imsi|cycle_start|cycle_end	source_file|imsi|cycle_start|cycle_end|final_start|final_end	source_file|imsi|product_name|cycle_start|cycle_end|final_start|final_end|monthly_rate	083901144055160839	01-1-INVOICE_FROM_ WA_USD_773,793.84_SIMO Data Purchase Invoice Details - OCT 2025.xlsx	01-1-INVOICE_FROM_ WA_USD_773,793.84_SIMO Data Purchase Invoice Details - OCT 2025.xlsx	ATT 300GB Plan DI JL (WA)	ATT 300GB Plan DI JL (WA)	2025-11-16	2025-10-16	2025-12-15	2025-11-15	2025-11-16	2025-10-24	2025-12-15	2025-11-15	Full Cycle Charge	30.000000000000	31.000000000000	62.000000000000	62.000000000000	62.000000000000	62.000000000000	16.000000000000	EQUAL	DIFFERENT	DIFFERENT	EQUAL	EQUAL	0.000000	-16.000000	IMSI_ONLY_OVERLAP_DIFFERENT_RECORD_CONTEXT	detail.final_charge and prorated.final_charge_for_usage_days are different amount semantics; pending_charge is prorated auxiliary amount. Do not union or deduplicate by IMSI alone.
14	IMSI_ONLY_OVERLAP_SAMPLE	imsi	source_file|imsi|cycle_start|cycle_end	source_file|imsi|cycle_start|cycle_end|final_start|final_end	source_file|imsi|product_name|cycle_start|cycle_end|final_start|final_end|monthly_rate	083901144055264931	01-1-INVOICE_FROM_ WA_USD_773,793.84_SIMO Data Purchase Invoice Details - OCT 2025.xlsx	01-1-INVOICE_FROM_ WA_USD_773,793.84_SIMO Data Purchase Invoice Details - OCT 2025.xlsx	ATT 300GB Plan DI JL (WA)	ATT 300GB Plan DI JL (WA)	2025-11-16	2025-10-16	2025-12-15	2025-11-15	2025-11-16	2025-10-24	2025-12-15	2025-11-15	Full Cycle Charge	30.000000000000	27.000000000000	62.000000000000	62.000000000000	62.000000000000	54.000000000000	8.000000000000	EQUAL	DIFFERENT	DIFFERENT	EQUAL	EQUAL	8.000000	0.000000	IMSI_ONLY_OVERLAP_DIFFERENT_RECORD_CONTEXT	detail.final_charge and prorated.final_charge_for_usage_days are different amount semantics; pending_charge is prorated auxiliary amount. Do not union or deduplicate by IMSI alone.
15	IMSI_ONLY_OVERLAP_SAMPLE	imsi	source_file|imsi|cycle_start|cycle_end	source_file|imsi|cycle_start|cycle_end|final_start|final_end	source_file|imsi|product_name|cycle_start|cycle_end|final_start|final_end|monthly_rate	083901144055269476	01-1-INVOICE_FROM_ WA_USD_773,793.84_SIMO Data Purchase Invoice Details - OCT 2025.xlsx	01-1-INVOICE_FROM_ WA_USD_773,793.84_SIMO Data Purchase Invoice Details - OCT 2025.xlsx	ATT 300GB Plan DI JL (WA)	ATT 300GB Plan DI JL (WA)	2025-11-16	2025-10-16	2025-12-15	2025-11-15	2025-11-16	2025-10-24	2025-12-15	2025-11-15	Full Cycle Charge	30.000000000000	27.000000000000	62.000000000000	62.000000000000	62.000000000000	54.000000000000	8.000000000000	EQUAL	DIFFERENT	DIFFERENT	EQUAL	EQUAL	8.000000	0.000000	IMSI_ONLY_OVERLAP_DIFFERENT_RECORD_CONTEXT	detail.final_charge and prorated.final_charge_for_usage_days are different amount semantics; pending_charge is prorated auxiliary amount. Do not union or deduplicate by IMSI alone.
16	IMSI_ONLY_OVERLAP_SAMPLE	imsi	source_file|imsi|cycle_start|cycle_end	source_file|imsi|cycle_start|cycle_end|final_start|final_end	source_file|imsi|product_name|cycle_start|cycle_end|final_start|final_end|monthly_rate	083901144055858410	01-1-INVOICE_FROM_ WA_USD_773,793.84_SIMO Data Purchase Invoice Details - OCT 2025.xlsx	01-1-INVOICE_FROM_ WA_USD_773,793.84_SIMO Data Purchase Invoice Details - OCT 2025.xlsx	ATT 300GB Plan DI JL (WA)	ATT 300GB Plan DI JL (WA)	2025-11-16	2025-10-16	2025-12-15	2025-11-15	2025-11-16	2025-10-24	2025-12-15	2025-11-15	Full Cycle Charge	30.000000000000	31.000000000000	62.000000000000	62.000000000000	62.000000000000	62.000000000000	16.000000000000	EQUAL	DIFFERENT	DIFFERENT	EQUAL	EQUAL	0.000000	-16.000000	IMSI_ONLY_OVERLAP_DIFFERENT_RECORD_CONTEXT	detail.final_charge and prorated.final_charge_for_usage_days are different amount semantics; pending_charge is prorated auxiliary amount. Do not union or deduplicate by IMSI alone.
17	IMSI_ONLY_OVERLAP_SAMPLE	imsi	source_file|imsi|cycle_start|cycle_end	source_file|imsi|cycle_start|cycle_end|final_start|final_end	source_file|imsi|product_name|cycle_start|cycle_end|final_start|final_end|monthly_rate	083901144055958464	01-1-INVOICE_FROM_ WA_USD_773,793.84_SIMO Data Purchase Invoice Details - OCT 2025.xlsx	01-1-INVOICE_FROM_ WA_USD_773,793.84_SIMO Data Purchase Invoice Details - OCT 2025.xlsx	ATT 300GB Plan DI JL (WA)	ATT 300GB Plan DI JL (WA)	2025-11-16	2025-10-16	2025-12-15	2025-11-15	2025-11-16	2025-10-24	2025-12-15	2025-11-15	Full Cycle Charge	30.000000000000	31.000000000000	62.000000000000	62.000000000000	62.000000000000	62.000000000000	8.000000000000	EQUAL	DIFFERENT	DIFFERENT	EQUAL	EQUAL	0.000000	-8.000000	IMSI_ONLY_OVERLAP_DIFFERENT_RECORD_CONTEXT	detail.final_charge and prorated.final_charge_for_usage_days are different amount semantics; pending_charge is prorated auxiliary amount. Do not union or deduplicate by IMSI alone.
18	IMSI_ONLY_OVERLAP_SAMPLE	imsi	source_file|imsi|cycle_start|cycle_end	source_file|imsi|cycle_start|cycle_end|final_start|final_end	source_file|imsi|product_name|cycle_start|cycle_end|final_start|final_end|monthly_rate	083901144064110679	01-SIMO Data Purchase Invoice Details - APR 2026.xlsx	01-SIMO Data Purchase Invoice Details - MAR 2026.xlsx	AT&T 125GB Plan ATM RA (WA)	AT&T 125GB Plan ATM RA (WA)	2026-04-04	2026-02-04	2026-05-03	2026-03-03	2026-04-04	2026-02-24	2026-05-03	2026-03-03	Full Cycle Charge	30.000000000000	14.000000000000	43.000000000000	43.000000000000	43.000000000000	21.500000000000	4.610000000000	DIFFERENT	DIFFERENT	DIFFERENT	EQUAL	EQUAL	21.500000	16.890000	IMSI_ONLY_OVERLAP_DIFFERENT_RECORD_CONTEXT	detail.final_charge and prorated.final_charge_for_usage_days are different amount semantics; pending_charge is prorated auxiliary amount. Do not union or deduplicate by IMSI alone.
19	IMSI_ONLY_OVERLAP_SAMPLE	imsi	source_file|imsi|cycle_start|cycle_end	source_file|imsi|cycle_start|cycle_end|final_start|final_end	source_file|imsi|product_name|cycle_start|cycle_end|final_start|final_end|monthly_rate	083901144064110695	01-SIMO Data Purchase Invoice Details - APR 2026.xlsx	01-SIMO Data Purchase Invoice Details - MAR 2026.xlsx	AT&T 125GB Plan ATM RA (WA)	AT&T 125GB Plan ATM RA (WA)	2026-04-04	2026-02-04	2026-05-03	2026-03-03	2026-04-04	2026-02-24	2026-05-03	2026-03-03	Full Cycle Charge	30.000000000000	10.000000000000	43.000000000000	43.000000000000	43.000000000000	15.357142857143	3.067142857143	DIFFERENT	DIFFERENT	DIFFERENT	EQUAL	EQUAL	27.642857	24.575714	IMSI_ONLY_OVERLAP_DIFFERENT_RECORD_CONTEXT	detail.final_charge and prorated.final_charge_for_usage_days are different amount semantics; pending_charge is prorated auxiliary amount. Do not union or deduplicate by IMSI alone.
20	IMSI_ONLY_OVERLAP_SAMPLE	imsi	source_file|imsi|cycle_start|cycle_end	source_file|imsi|cycle_start|cycle_end|final_start|final_end	source_file|imsi|product_name|cycle_start|cycle_end|final_start|final_end|monthly_rate	083901144064111762	01-SIMO Data Purchase Invoice Details - APR 2026.xlsx	01-SIMO Data Purchase Invoice Details - MAR 2026.xlsx	AT&T 125GB Plan ATM RA (WA)	AT&T 125GB Plan ATM RA (WA)	2026-04-04	2026-02-04	2026-05-03	2026-03-03	2026-04-04	2026-02-24	2026-05-03	2026-03-03	Full Cycle Charge	30.000000000000	16.000000000000	43.000000000000	43.000000000000	43.000000000000	24.571428571429	12.281428571429	DIFFERENT	DIFFERENT	DIFFERENT	EQUAL	EQUAL	18.428571	6.147143	IMSI_ONLY_OVERLAP_DIFFERENT_RECORD_CONTEXT	detail.final_charge and prorated.final_charge_for_usage_days are different amount semantics; pending_charge is prorated auxiliary amount. Do not union or deduplicate by IMSI alone.
