billing_month	join_status	joined_row_count	distinct_card_count	invoice_amount	platform_calculated_amount
2025-11	MATCHED	12663	12641	773737.8387	748214.2997
2025-11	PLATFORM_ONLY	4219	4219	0.0	0.0
