population_type	official_excel_billing_month	observed_start_month	charge_type	rule_id	source_match_status	numeric_match_status	difference_reason	row_count	imsi_count	excel_total	platform_calculated_total	amount_diff_total	days_exact_row_count	price_exact_row_count	amount_exact_row_count	days_missing_row_count	price_missing_row_count	amount_missing_row_count	unresolved_impact_excel_amount	unresolved_abs_amount_diff
DETAIL_EXCEL_ROW	2025-10 (v2)	2025-11	Full Cycle Charge	R_FULL_CYCLE_PRICE	MISSING_MAPPING	MATCHED	NUMERIC_MATCH_BUT_EXCEL_PRODUCT_ID_NULL	226	226	14012.000000000000	14012.000000000000	0E-11	226	226	226	0	0	0	14012.000000000000	0E-11
DETAIL_EXCEL_ROW	2025-10 (v2)	2025-11	Full Cycle Charge	R_FULL_CYCLE_PRICE	MISSING_MAPPING	NUMERIC_MISMATCH	PRICE_ERROR	216	216	13392.000000000000	9288.000000000000	-4104.00000000000	216	0	0	0	0	0	13392.000000000000	4104.00000000000
DETAIL_EXCEL_ROW	2025-10 (v2)	2025-11	Full Cycle Charge	R_FULL_CYCLE_PRICE	MISSING_MAPPING	NUMERIC_MISMATCH	DAY_ERROR	518	518	31907.000000000000	31508.000000000000	-399.00000000000	0	497	497	0	0	0	31907.000000000000	399.00000000000
DETAIL_EXCEL_ROW	2025-10 (v2)	2025-11	Full Cycle Charge	R_FULL_CYCLE_PRICE	UNRESOLVED	AMBIGUOUS_PLATFORM_CANDIDATE	MULTIPLE_PLATFORM_CYCLE_CANDIDATES	11681	11681	713981.000000000000	690497.000000000000	-23484.00000000000	11678	10445	10445	0	0	0	713981.000000000000	23484.00000000000
DETAIL_EXCEL_ROW	2025-10 (v2)	2025-11	New Activation: Prorated-in Charge	R_PRORATED_LIFECYCLE_DAYS_ACTIVATION_MONTH	MISSING_MAPPING	NUMERIC_MISMATCH	AMOUNT_ERROR	4	4	38.838709677420	40.133332000000	1.29462232260	4	4	0	0	0	0	38.838709677420	1.29462232260
DETAIL_EXCEL_ROW	2025-10 (v2)	2025-11	New Activation: Prorated-in Charge	R_PRORATED_LIFECYCLE_DAYS_ACTIVATION_MONTH	MISSING_MAPPING	NUMERIC_MISMATCH	DAY_ERROR	16	16	386.999999999999	160.533328000000	-226.46667200002	0	16	0	0	0	0	386.999999999999	226.46667200002
DETAIL_EXCEL_ROW	2025-10 (v2)	2025-11	New Activation: Prorated-in Charge	R_PRORATED_LIFECYCLE_DAYS_ACTIVATION_MONTH	MISSING_MAPPING	NUMERIC_MISMATCH	PRICE_ERROR	1	1	10.000000000000	7.166667000000	-2.83333300000	1	0	0	0	0	0	10.000000000000	2.83333300000
DETAIL_EXCEL_ROW	2025-10 (v2)	2025-11	New Activation: Prorated-in Charge	R_PRORATED_LIFECYCLE_DAYS_ACTIVATION_MONTH	UNRESOLVED	AMBIGUOUS_PLATFORM_CANDIDATE	MULTIPLE_PLATFORM_CYCLE_CANDIDATES	1	1	10.000000000000	7.166667000000	-2.83333300000	1	0	0	0	0	0	10.000000000000	2.83333300000
PLATFORM_ONLY_LIFECYCLE		2025-08	<PLATFORM_ONLY>	R_PLATFORM_LIFECYCLE_NO_EXCEL_WINDOW	PLATFORM_ONLY	NO_EXCEL	NO_EXCEL_MATCHED_WINDOW	464	464											
PLATFORM_ONLY_LIFECYCLE		2025-09	<PLATFORM_ONLY>	R_PLATFORM_LIFECYCLE_NO_EXCEL_WINDOW	PLATFORM_ONLY	NO_EXCEL	NO_EXCEL_MATCHED_WINDOW	333	333											
PLATFORM_ONLY_LIFECYCLE		2025-10	<PLATFORM_ONLY>	R_PLATFORM_LIFECYCLE_NO_EXCEL_WINDOW	PLATFORM_ONLY	NO_EXCEL	NO_EXCEL_MATCHED_WINDOW	5	5											
PLATFORM_ONLY_LIFECYCLE		2025-11	<PLATFORM_ONLY>	R_PLATFORM_LIFECYCLE_NO_EXCEL_WINDOW	PLATFORM_ONLY	NO_EXCEL	NO_EXCEL_MATCHED_WINDOW	1275	1013											
PLATFORM_ONLY_LIFECYCLE		2025-12	<PLATFORM_ONLY>	R_PLATFORM_LIFECYCLE_NO_EXCEL_WINDOW	PLATFORM_ONLY	NO_EXCEL	NO_EXCEL_MATCHED_WINDOW	13609	13020											
