product_id	package_price	product_rows	distinct_product_name_count	min_create_time_raw	max_modify_time_raw
600111002	62.0	1	1	2025-01-22 02:56:56	2025-10-15 07:16:05
600111005	62.0	1	1	2025-02-07 19:40:02	2025-10-15 07:15:14
600111013	43.0	1	1	2025-02-20 01:15:17	2026-03-25 10:10:39
600111042	62.0	1	1	2025-06-03 01:27:34	2025-10-15 07:13:03
600111059	62.0	1	1	2025-07-02 01:15:57	2026-09-11 17:53:05
600111060	62.0	1	1	2025-07-02 01:18:57	2025-10-15 07:11:29
600111061	62.0	1	1	2025-07-02 01:25:19	2025-10-15 07:10:51
600111069	62.0	1	1	2025-09-09 02:03:18	2026-03-24 01:23:50
600111070	62.0	1	1	2025-09-09 02:05:06	2026-03-25 10:11:55
600111071	62.0	1	1	2025-09-09 02:07:49	2025-10-15 07:08:12
600111072	62.0	1	1	2025-09-09 02:10:23	2025-10-17 02:25:09
600111073	62.0	1	1	2025-09-09 02:14:46	2025-10-15 07:05:54
600111074	62.0	1	1	2025-09-09 02:16:22	2025-10-15 07:05:03
600111075	62.0	1	1	2025-09-09 02:19:03	2025-10-15 07:04:13
600111076	62.0	1	1	2025-09-09 02:20:56	2025-10-15 07:02:04
600111077	62.0	1	1	2025-09-09 02:22:10	2025-10-15 07:00:49
600111078	62.0	1	1	2025-09-09 02:23:38	2025-10-15 09:44:16
600111080	62.0	1	1	2025-09-17 01:07:50	2025-10-15 06:58:59
600111081	62.0	1	1	2025-09-17 01:09:42	2025-10-15 06:58:08
600111082	62.0	1	1	2025-09-17 01:11:34	2025-10-17 02:25:41
600111083	62.0	1	1	2025-09-17 01:13:00	2025-10-15 09:33:49
600111084	62.0	1	1	2025-09-17 01:14:24	2025-10-15 09:43:48
600111085	62.0	1	1	2025-09-17 01:16:21	2025-10-15 06:54:36
600111086	62.0	1	1	2025-09-17 01:18:00	2025-10-15 09:33:21
600111087	43.0	1	1	2025-09-20 06:53:37	2026-09-04 05:35:59
600111093	62.0	1	1	2025-10-02 14:16:40	2026-04-16 08:45:24
600111094	43.0	1	1	2025-10-09 02:58:23	2026-09-08 09:57:17
600111103	43.0	1	1	2025-11-03 05:20:44	2025-11-03 07:10:37
600111107	62.0	1	1	2025-11-11 02:48:45	2025-11-14 06:21:25
600111108	62.0	1	1	2025-11-14 01:26:24	2025-11-14 01:26:24
600111109	62.0	1	1	2025-11-14 05:59:43	2025-11-14 05:59:43
600111111	62.0	1	1	2025-11-18 01:03:24	2026-04-16 08:45:41
600111113	62.0	1	1	2025-11-20 01:24:09	2026-04-16 08:45:57
600111114	62.0	1	1	2025-11-20 01:25:39	2026-04-16 08:46:12
600111115	62.0	1	1	2025-11-20 01:26:56	2025-11-20 01:26:56
600111116	62.0	1	1	2025-11-21 05:42:57	2026-04-16 08:46:27
600111119	43.0	1	1	2025-11-26 01:56:25	2026-03-25 10:12:49
600111120	43.0	1	1	2025-11-26 01:58:10	2026-03-25 10:13:15
600111121	43.0	1	1	2025-11-26 02:10:18	2026-03-25 10:13:42
600111123	62.0	1	1	2025-12-05 04:12:50	2025-12-05 04:12:50
600111124	43.0	1	1	2025-12-05 04:19:07	2026-03-25 10:14:13
600111125	43.0	1	1	2025-12-05 04:19:56	2026-03-25 10:14:56
600111126	43.0	1	1	2025-12-05 04:20:43	2026-03-25 10:15:23
600111128	62.0	1	1	2025-12-18 02:14:18	2026-04-16 08:46:43
600111129	43.0	1	1	2025-12-18 02:16:41	2025-12-18 02:16:41
600111130	43.0	1	1	2025-12-18 02:18:09	2025-12-18 03:04:04
600111131	32.0	1	1	2025-12-18 02:19:22	2025-12-25 01:35:13
600111132	43.0	1	1	2025-12-22 01:14:12	2025-12-22 01:14:12
600111133	43.0	1	1	2025-12-22 01:15:17	2026-07-01 20:20:23
600111134	43.0	1	1	2025-12-22 01:16:25	2025-12-22 01:16:25
600111135	43.0	1	1	2025-12-22 01:17:29	2025-12-22 01:17:29
600111136	43.0	1	1	2025-12-22 01:18:33	2025-12-22 01:18:33
600111138	43.0	1	1	2025-12-24 01:00:00	2025-12-24 01:00:00
600111139	62.0	1	1	2025-12-24 01:04:37	2026-04-16 08:47:00
600111141	43.0	1	1	2025-12-31 01:30:47	2025-12-31 01:30:47
600111142	32.0	1	1	2025-12-31 01:34:00	2026-05-29 18:04:22
600111145	43.0	1	1	2026-01-23 02:19:30	2026-05-21 00:58:03
600111146	62.0	1	1	2026-01-23 02:59:23	2026-01-23 03:54:46
600111147	43.0	1	1	2026-01-23 05:55:24	2026-01-23 05:55:24
600111148	43.0	1	1	2026-01-27 03:04:03	2026-03-25 10:15:50
600111149	43.0	1	1	2026-01-28 01:59:06	2026-03-23 21:05:14
600111150	43.0	1	1	2026-01-31 03:26:43	2026-09-15 02:06:46
600111151	43.0	1	1	2026-02-01 01:48:17	2026-03-25 10:18:18
600111152	43.0	1	1	2026-02-13 07:41:07	2026-04-21 01:29:33
600111153	43.0	1	1	2026-02-13 08:29:43	2026-03-25 10:19:30
600111154	62.0	1	1	2026-02-17 22:57:20	2026-05-23 02:39:05
600111155	62.0	1	1	2026-03-24 01:27:35	2026-03-24 01:27:35
600111161	43.0	1	1	2026-03-27 02:34:38	2026-04-20 17:15:00
600111162	62.0	1	1	2026-03-27 02:38:23	2026-06-01 01:03:48
600111165	62.0	1	1	2026-03-31 22:46:51	2026-03-31 22:46:51
600111167	43.0	1	1	2026-04-01 01:45:26	2026-04-01 01:45:26
600111168	62.0	1	1	2026-04-01 02:28:55	2026-04-01 02:28:55
600111169	62.0	1	1	2026-04-01 02:34:20	2026-04-01 02:34:20
600111170	43.0	1	1	2026-04-03 01:10:20	2026-04-03 01:10:20
600111171	62.0	1	1	2026-04-03 01:13:59	2026-04-03 01:13:59
600111172	62.0	1	1	2026-04-03 01:14:48	2026-04-03 01:28:13
600111175	62.0	1	1	2026-04-04 01:37:25	2026-04-04 01:37:25
600111176	62.0	1	1	2026-04-04 01:41:40	2026-04-04 01:41:40
600111177	62.0	1	1	2026-04-04 01:44:47	2026-04-21 01:28:37
600111178	43.0	1	1	2026-04-04 01:47:47	2026-04-04 01:47:47
600111179	62.0	1	1	2026-04-04 01:51:19	2026-04-04 01:51:19
600111180	62.0	1	1	2026-04-04 01:54:37	2026-04-04 01:54:37
600111181	62.0	1	1	2026-04-28 21:24:59	2026-04-28 21:24:59
600111185	62.0	1	1	2026-05-01 07:59:43	2026-05-01 07:59:43
600111186	62.0	1	1	2026-05-01 08:00:41	2026-05-01 08:00:41
600111187	62.0	1	1	2026-05-04 18:40:57	2026-05-04 23:16:10
600111190	62.0	1	1	2026-05-05 21:48:26	2026-05-05 21:48:26
