table_catalog	table_schema	table_name	ordinal_position	column_name	data_type	is_nullable	comment	column_count
simo_prod	ods	resource_res_vsim_product	26	monthly_rent	DOUBLE	YES	月租	70
simo_prod	ods	resource_res_vsim_product	27	monthly_rent_withusd	DOUBLE	YES	月租(美金)	70
simo_prod	ods	resource_res_vsim_product	28	over_flux_package_amount	LONG	YES	超套餐购买量	70
simo_prod	ods	resource_res_vsim_product	29	over_flux_package_unit	STRING	YES	超套餐购买包单位	70
simo_prod	ods	resource_res_vsim_product	30	over_flux_package_price_all_countries	STRING	YES	超套餐购买包的价格（漫游卡时包含各个国家的价格值MCC	70
simo_prod	ods	resource_res_vsim_product	31	package_price	DOUBLE	YES	套餐内价格	70
simo_prod	ods	resource_res_vsim_product	32	package_price_withusd	DOUBLE	YES	套餐内价格（美元）	70
simo_prod	ods	resource_res_vsim_product	33	pause_monthly_rent	DOUBLE	YES	暂停卡月租	70
simo_prod	ods	resource_res_vsim_product	34	pause_monthly_rent_withusd	DOUBLE	YES	暂停卡月租（美元）	70
simo_prod	ods	resource_res_vsim_product	35	payment_day	LONG	YES	结账日	70
simo_prod	ods	resource_res_vsim_product	36	payment_type	LONG	YES	0：预付 1后付	70
simo_prod	ods	resource_res_vsim_product	37	pooling	LONG	YES	共享池，0：否，1：是	70
simo_prod	ods	resource_res_vsim_product	38	pooling_cons_flux	LONG	YES	流量池累积量(KB)	70
simo_prod	ods	resource_res_vsim_product	39	price_include_tax	DOUBLE	YES	含税价	70
simo_prod	ods	resource_res_vsim_product	40	price_include_tax_withusd	DOUBLE	YES	含税价(美金)	70
simo_prod	ods	resource_res_vsim_product	41	product_name_in_supplier	STRING	YES	供应商套餐名	70
simo_prod	ods	resource_res_vsim_product	42	purchase_fee_disposable	DOUBLE	YES	一次性购买费用	70
simo_prod	ods	resource_res_vsim_product	43	tax_rate	DOUBLE	YES	税率	70
simo_prod	ods	resource_res_vsim_product	44	mccs	STRING	YES	覆盖mcc	70
simo_prod	ods	resource_res_vsim_product	45	is_local	LONG	YES	是否为本地卡 0:否 1：是	70
simo_prod	ods	resource_res_vsim_product	46	network_type	LONG	YES	1:2G 2:3G 3:4G	70
simo_prod	ods	resource_res_vsim_product	47	network_standard	LONG	YES	GSM(1), WCDMA(2), CDMA(4), TCDMA(8), TDDLTE(16), FDDLTE(32)	70
simo_prod	ods	resource_res_vsim_product	48	roam_type	LONG	YES	1:国内 2:国外	70
simo_prod	ods	resource_res_vsim_product	49	sim_type	LONG	YES	0:VSIM 1:KI	70
simo_prod	ods	resource_res_vsim_product	50	email_notify_id	LONG	YES		70
simo_prod	ods	resource_res_vsim_product	51	create_by	STRING	YES	创建人	70
simo_prod	ods	resource_res_vsim_product	52	create_time	STRING	YES	创建时间	70
simo_prod	ods	resource_res_vsim_product	53	modify_by	STRING	YES	最后修改人	70
simo_prod	ods	resource_res_vsim_product	54	modify_time	STRING	YES	修改时间	70
simo_prod	ods	resource_res_vsim_product	55	countrys	STRING	YES	覆盖mcc国家名字	70
simo_prod	ods	resource_res_vsim_product	56	balance_currency	STRING	YES	结算货币单位	70
simo_prod	ods	resource_res_vsim_product	57	balance_rate	DOUBLE	YES	结算货币汇率1	70
simo_prod	ods	resource_res_vsim_product	58	settle_accounts_currency	STRING	YES	记账货币	70
simo_prod	ods	resource_res_vsim_product	59	settle_accounts_rate	DOUBLE	YES	记账汇率2	70
simo_prod	ods	resource_res_vsim_product	60	agreement_time_periods_unit	STRING	YES	合约单位:月/天	70
simo_prod	ods	resource_res_vsim_product	61	over_flow_fee	DOUBLE	YES	超流量费用	70
simo_prod	ods	resource_res_vsim_product	62	over_flow_fee_unit	STRING	YES	超流量费用单位:MB/GB	70
simo_prod	ods	resource_res_vsim_product	63	plmn_sel	STRING	YES	覆盖区域的优先登录列表，PLMNS	70
simo_prod	ods	resource_res_vsim_product	64	cover_group_id	LONG	YES	覆盖区域ID,数据来自config库	70
simo_prod	ods	resource_res_vsim_product	65	billing_type	INT	YES	计费类型,无套餐情况下才会有,默认值 0：0阶梯计费 1条件计费	70
