local_excel_file	local_relative_path	sheet_name	sheet_kind	data_row_count	imsi_count	key_columns	amount_field	excel_amount	amount_min	amount_max	date_columns	date_summary_json	charge_type_values
01-SIMO Data Purchase Invoice Details - FEB 2026.xlsx	2026年3月\WingAlpha-2026年3月付；USD693,915.21\01-SIMO Data Purchase Invoice Details - FEB 2026.xlsx	Prorated-In JAN - Pending Charg	prorated	359	359	IMSI|Product Name|Cycle Start Date|Cycle End Date|New Activation Date|Final Start Date|Final End Date|# of Active Days|Monthly Rate|Original Charge in DEC Invoice|Cycle Usage (GB)|Usage Days|Final Charge For Usage Days|Pending Charge	Final Charge For Usage Days	14688.096774194	18.032258064516128	62.0	Cycle End Date|Cycle Start Date|Final End Date|Final Start Date|New Activation Date	"{""Cycle End Date"":{""count"":359,""min"":""2026-02-03"",""max"":""2026-02-24""},""Cycle Start Date"":{""count"":359,""min"":""2026-01-04"",""max"":""2026-01-25""},""Final End Date"":{""count"":359,""min"":""2026-02-03"",""max"":""2026-02-24""},""Final Start Date"":{""count"":359,""min"":""2026-01-23"",""max"":""2026-01-31""},""New Activation Date"":{""count"":359,""min"":""2026-01-23"",""max"":""2026-01-31""}}"	
01-SIMO Data Purchase Invoice Details - MAR 2026.xlsx	2026年4月\WingAlpha-2026年4月付；USD579,471.47\01-SIMO Data Purchase Invoice Details - MAR 2026.xlsx	Detail Charges	detail	13082	12763	IMSI|Product Name|Cycle Start Date|Cycle End Date|Cycle Usage (GB)|New Activation Date|Offstock Date|Charge Type|Final Start Date|Final End Date|# of Active Days|Usage Days|Final # of Days for Proration|Monthly Rate|Final Charge	Final Charge	578406.306451616	-24.357142857142858	62.0	Cycle End Date|Cycle Start Date|Final End Date|Final Start Date|New Activation Date|Offstock Date	"{""Cycle End Date"":{""count"":13082,""min"":""2026-03-17"",""max"":""2026-04-27""},""Cycle Start Date"":{""count"":13082,""min"":""2026-02-18"",""max"":""2026-03-28""},""Final End Date"":{""count"":13081,""min"":""2026-03-09"",""max"":""2026-04-27""},""Final Start Date"":{""count"":13081,""min"":""2026-02-24"",""max"":""2026-03-28""},""New Activation Date"":{""count"":1418,""min"":""2026-03-05"",""max"":""2026-03-28""},""Offstock Date"":{""count"":539,""min"":""2026-03-04"",""max"":""2026-03-31""}}"	Credit for Offstocked Card|Full Cycle Charge|Full Cycle Charge - Backbilled for FEB Invoice|New Activation: Prorated-in Charge|Offstocked before cycle start|Partial Charge - Card Replaced Mid Cycle|Prorated Out - Transferred to Wing's Simbank|Prorated-out Charge - Offstocked Card
01-SIMO Data Purchase Invoice Details - MAR 2026.xlsx	2026年4月\WingAlpha-2026年4月付；USD579,471.47\01-SIMO Data Purchase Invoice Details - MAR 2026.xlsx	Prorated-In FEB - Pending Charg	prorated	127	127	IMSI|Product Name|Cycle Start Date|Cycle End Date|New Activation Date|Final Start Date|Final End Date|# of Active Days|Monthly Rate|Original Charge in FEB Invoice|Cycle Usage (GB)|Usage Days|Final Charge For Usage Days|Pending Charge	Final Charge For Usage Days	3686.928571429	13.821428571428573	62.0	Cycle End Date|Cycle Start Date|Final End Date|Final Start Date|New Activation Date	"{""Cycle End Date"":{""count"":127,""min"":""2026-03-01"",""max"":""2026-03-21""},""Cycle Start Date"":{""count"":127,""min"":""2026-02-02"",""max"":""2026-02-22""},""Final End Date"":{""count"":127,""min"":""2026-03-01"",""max"":""2026-03-21""},""Final Start Date"":{""count"":127,""min"":""2026-02-10"",""max"":""2026-02-26""},""New Activation Date"":{""count"":127,""min"":""2026-02-10"",""max"":""2026-02-26""}}"	
01-SIMO Data Purchase Invoice Details - APR 2026.xlsx	2026年5月\WingAlpha-2026年5月付；USD374,480.38\01-SIMO Data Purchase Invoice Details - APR 2026.xlsx	Detail Charges	detail	7780	7317	IMSI|Product Name|Cycle Start Date|Cycle End Date|Cycle Usage (GB)|New Activation Date|Offstock Date|Charge Type|Final Start Date|Final End Date|# of Active Days|Usage Days|Final # of Days for Proration|Monthly Rate|Final Charge	Final Charge	372289.307526881	1.3870967741935483	62.0	Cycle End Date|Cycle Start Date|Final End Date|Final Start Date|New Activation Date|Offstock Date	"{""Cycle End Date"":{""count"":7780,""min"":""2026-04-18"",""max"":""2026-05-30""},""Cycle Start Date"":{""count"":7780,""min"":""2026-03-19"",""max"":""2026-04-30""},""Final End Date"":{""count"":7780,""min"":""2026-04-02"",""max"":""2026-05-30""},""Final Start Date"":{""count"":7780,""min"":""2026-04-01"",""max"":""2026-04-30""},""New Activation Date"":{""count"":1169,""min"":""2026-04-02"",""max"":""2026-04-28""},""Offstock Date"":{""count"":49,""min"":""2026-04-02"",""max"":""2026-04-24""}}"	Full Cycle Charge|New Activation: Prorated-in Charge|Partial Charge - Card Replaced Mid Cycle
01-SIMO Data Purchase Invoice Details - APR 2026.xlsx	2026年5月\WingAlpha-2026年5月付；USD374,480.38\01-SIMO Data Purchase Invoice Details - APR 2026.xlsx	Prorated-In MAR - Pending Charg	prorated	284	284	IMSI|Product Name|Cycle Start Date|Cycle End Date|New Activation Date|Final Start Date|Final End Date|# of Active Days|Monthly Rate|Original Charge in MAR Invoice|Cycle Usage (GB)|Usage Days|Final Charge For Usage Days|Pending Charge	Final Charge For Usage Days	9827.387096774	15.258064516129034	62.0	Cycle End Date|Cycle Start Date|Final End Date|Final Start Date|New Activation Date	"{""Cycle End Date"":{""count"":284,""min"":""2026-04-01"",""max"":""2026-04-25""},""Cycle Start Date"":{""count"":284,""min"":""2026-03-02"",""max"":""2026-03-26""},""Final End Date"":{""count"":284,""min"":""2026-04-01"",""max"":""2026-04-25""},""Final Start Date"":{""count"":284,""min"":""2026-03-23"",""max"":""2026-03-28""},""New Activation Date"":{""count"":284,""min"":""2026-03-23"",""max"":""2026-03-28""}}"	
01-SIMO Data Purchase Invoice Details - MAY 2026.xlsx	2026年6月\WingAlpha-2026年6月付；USD389,842.49\01-SIMO Data Purchase Invoice Details - MAY 2026.xlsx	Detail Charges	detail	7887	7494	IMSI|Product Name|Cycle Start Date|Cycle End Date|Cycle Usage (GB)|New Activation Date|Offstock Date|Charge Type|Status|Final Start Date|Final End Date|# of Active Days|Usage Days|Final # of Days for Proration|Monthly Rate|Final Charge	Final Charge	389800.952688175	-31.53333333333333	62.0	Cycle End Date|Cycle Start Date|Final End Date|Final Start Date|New Activation Date|Offstock Date	"{""Cycle End Date"":{""count"":7887,""min"":""2026-05-18"",""max"":""2026-06-29""},""Cycle Start Date"":{""count"":7887,""min"":""2026-04-19"",""max"":""2026-05-31""},""Final End Date"":{""count"":7887,""min"":""2026-05-01"",""max"":""2026-06-29""},""Final Start Date"":{""count"":7887,""min"":""2026-04-24"",""max"":""2026-05-31""},""New Activation Date"":{""count"":995,""min"":""2026-05-01"",""max"":""2026-05-29""},""Offstock Date"":{""count"":34,""min"":""2026-05-01"",""max"":""2026-05-31""}}"	Credit for Offstocked Card|Full Cycle Charge|New Activation: Prorated-in Charge|Partial Charge - Card Replaced Mid Cycle|Partial Charge - New Card Used as Replacement Mid Cycle|Prorated-out Charge - Offstocked Card
01-SIMO Data Purchase Invoice Details - MAY 2026.xlsx	2026年6月\WingAlpha-2026年6月付；USD389,842.49\01-SIMO Data Purchase Invoice Details - MAY 2026.xlsx	Prorated-In APR - Pending Charg	prorated	9	9	IMSI|Product Name|Cycle Start Date|Cycle End Date|New Activation Date|Final Start Date|Final End Date|# of Active Days|Monthly Rate|Original Charge in APR Invoice|Cycle Usage (GB)|Usage Days|Final Charge For Usage Days|Pending Charge	Final Charge For Usage Days	298.766666667	22.933333333333334	41.33333333333333	Cycle End Date|Cycle Start Date|Final End Date|Final Start Date|New Activation Date	"{""Cycle End Date"":{""count"":9,""min"":""2026-05-01"",""max"":""2026-05-08""},""Cycle Start Date"":{""count"":9,""min"":""2026-04-02"",""max"":""2026-04-09""},""Final End Date"":{""count"":9,""min"":""2026-05-01"",""max"":""2026-05-08""},""Final Start Date"":{""count"":9,""min"":""2026-04-19"",""max"":""2026-04-20""},""New Activation Date"":{""count"":9,""min"":""2026-04-19"",""max"":""2026-04-20""}}"	
01-SIMO Data Purchase Invoice Details - JUNE 2026.xlsx	2026年7月\WingAlpha-2026年7月付；USD382,329.72\01-SIMO Data Purchase Invoice Details - JUNE 2026.xlsx	Detail Charges	detail	7598	7469	IMSI|Product Name|Cycle Start Date|Cycle End Date|Cycle Usage (GB)|New Activation Date|Offstock Date|Charge Type|Status|Final Start Date|Final End Date|# of Active Days|Usage Days|Final # of Days for Proration|Monthly Rate|Final Charge	Final Charge	382329.720430108	1.3870967741935483	62.0	Cycle End Date|Cycle Start Date|Final End Date|Final Start Date|New Activation Date|Offstock Date	"{""Cycle End Date"":{""count"":7598,""min"":""2026-06-06"",""max"":""2026-07-29""},""Cycle Start Date"":{""count"":7598,""min"":""2026-05-07"",""max"":""2026-06-30""},""Final End Date"":{""count"":7598,""min"":""2026-06-06"",""max"":""2026-07-29""},""Final Start Date"":{""count"":7598,""min"":""2026-06-01"",""max"":""2026-06-30""},""New Activation Date"":{""count"":303,""min"":""2026-06-01"",""max"":""2026-06-30""},""Offstock Date"":{""count"":78,""min"":""2026-06-12"",""max"":""2026-06-30""}}"	Full Cycle Charge|Partial Charge - Card Replaced Mid Cycle|Partial Charge - New Card Used as Replacement Mid Cycle
01-SIMO Data Purchase Invoice Details - JULY 2026.xlsx	2026年8月\WingAlpha-2026年8月付；USD373,928.34\01-SIMO Data Purchase Invoice Details - JULY 2026.xlsx	Detail Charges	detail	7537	7472	IMSI|Product Name|Cycle Start Date|Cycle End Date|Cycle Usage (GB)|New Activation Date|Offstock Date|Charge Type|Status|Final Start Date|Final End Date|# of Active Days|Usage Days|Final # of Days for Proration|Monthly Rate|Final Charge	Final Charge	373918.313978497	6.935483870967742	62.0	Cycle End Date|Cycle Start Date|Final End Date|Final Start Date|New Activation Date|Offstock Date	"{""Cycle End Date"":{""count"":7537,""min"":""2026-07-08"",""max"":""2026-08-30""},""Cycle Start Date"":{""count"":7537,""min"":""2026-06-09"",""max"":""2026-07-31""},""Final End Date"":{""count"":7537,""min"":""2026-07-08"",""max"":""2026-08-30""},""Final Start Date"":{""count"":7537,""min"":""2026-07-01"",""max"":""2026-07-31""},""New Activation Date"":{""count"":197,""min"":""2026-07-01"",""max"":""2026-07-31""},""Offstock Date"":{""count"":41,""min"":""2026-07-25"",""max"":""2026-07-31""}}"	Full Cycle Charge|Partial Charge - Card Replaced Mid Cycle|Partial Charge - New Card Used as Replacement Mid Cycle
01-SIMO Data Purchase Invoice Details - JULY 2026.xlsx	2026年8月\WingAlpha-2026年8月付；USD373,928.34\01-SIMO Data Purchase Invoice Details - JULY 2026.xlsx	Prorated-In JUN - Pending Charg	prorated	4	4	IMSI|Product Name|Cycle Start Date|Cycle End Date|New Activation Date|Final Start Date|Final End Date|# of Active Days|Monthly Rate|Original Charge in JUN Invoice|Cycle Usage (GB)|Usage Days|Final Charge For Usage Days|Pending Charge	Final Charge For Usage Days	141.9	30.099999999999998	38.7	Cycle End Date|Cycle Start Date|Final End Date|Final Start Date|New Activation Date	"{""Cycle End Date"":{""count"":4,""min"":""2026-07-14"",""max"":""2026-07-25""},""Cycle Start Date"":{""count"":4,""min"":""2026-06-15"",""max"":""2026-06-26""},""Final End Date"":{""count"":4,""min"":""2026-07-14"",""max"":""2026-07-25""},""Final Start Date"":{""count"":4,""min"":""2026-06-25"",""max"":""2026-06-30""},""New Activation Date"":{""count"":4,""min"":""2026-06-25"",""max"":""2026-06-30""}}"	
SIMO Data Purchase Invoice Details - AUGUST 2026.xlsx	2026年9月\WingAlpha-2026年9月付；USD\SIMO Data Purchase Invoice Details - AUGUST 2026.xlsx	Detail Charges	detail	7536	7508	IMSI|Product Name|Cycle Start Date|Cycle End Date|Cycle Usage (GB)|New Activation Date|Offstock Date|Charge Type|Status|Final Start Date|Final End Date|# of Active Days|Usage Days|Final # of Days for Proration|Monthly Rate|Final Charge	Final Charge	364846.612903226	1.3870967741935483	62.0	Cycle End Date|Cycle Start Date|Final End Date|Final Start Date|New Activation Date|Offstock Date	"{""Cycle End Date"":{""count"":7536,""min"":""2026-08-26"",""max"":""2026-09-29""},""Cycle Start Date"":{""count"":7536,""min"":""2026-07-27"",""max"":""2026-08-31""},""Final End Date"":{""count"":7536,""min"":""2026-08-25"",""max"":""2026-09-29""},""Final Start Date"":{""count"":7536,""min"":""2026-08-01"",""max"":""2026-08-31""},""New Activation Date"":{""count"":81,""min"":""2026-08-01"",""max"":""2026-08-31""},""Offstock Date"":{""count"":318,""min"":""2026-08-25"",""max"":""2026-08-31""}}"	Full Cycle Charge|New Activation: Prorated-in Charge|Partial Charge - Card Replaced Mid Cycle|Partial Charge - New Card Used as Replacement Mid Cycle
SIMO Data Purchase Invoice Details - AUGUST 2026.xlsx	2026年9月\WingAlpha-2026年9月付；USD\SIMO Data Purchase Invoice Details - AUGUST 2026.xlsx	Prorated-In JUL - Pending Charg	prorated	3	3	IMSI|Product Name|Cycle Start Date|Cycle End Date|New Activation Date|Final Start Date|Final End Date|# of Active Days|Monthly Rate|Original Charge in JUL Invoice|Cycle Usage (GB)|Usage Days|Final Charge For Usage Days|Pending Charge	Final Charge For Usage Days	127.612903226	41.612903225806456	43.0	Cycle End Date|Cycle Start Date|Final End Date|Final Start Date|New Activation Date	"{""Cycle End Date"":{""count"":3,""min"":""2026-08-03"",""max"":""2026-08-03""},""Cycle Start Date"":{""count"":3,""min"":""2026-07-04"",""max"":""2026-07-04""},""Final End Date"":{""count"":3,""min"":""2026-08-03"",""max"":""2026-08-03""},""Final Start Date"":{""count"":3,""min"":""2026-07-06"",""max"":""2026-07-06""},""New Activation Date"":{""count"":3,""min"":""2026-07-06"",""max"":""2026-07-06""}}"	
