result_type	grain	source_table	source_file	official_excel_billing_month	observed_start_month	charge_type	source_match_status	numeric_match_status	row_count	distinct_imsi_count	excel_amount	platform_calculated_amount	amount_diff	days_exact_count	price_exact_count	amount_exact_count	missing_platform_amount_row_count	unresolved_or_unproven_excel_amount	difference_reason
PLATFORM_ONLY	platform_lifecycle_row	simo_prod.ods.resource_res_vsim_cycle_history		2025-09	2025-09		PLATFORM_ONLY	NO_EXCEL	333	333									supplier_id=2275 product-scoped cycle_history; outside Excel detail match or no Jan-2026 Excel source_file
PLATFORM_ONLY	platform_lifecycle_row	simo_prod.ods.resource_res_vsim_cycle_history		2025-10 (v1)	2025-10		PLATFORM_ONLY	NO_EXCEL	5	5									supplier_id=2275 product-scoped cycle_history; outside Excel detail match or no Jan-2026 Excel source_file
PLATFORM_ONLY	platform_lifecycle_row	simo_prod.ods.resource_res_vsim_cycle_history		2025-10 (v2)	2025-11		PLATFORM_ONLY	NO_EXCEL	1275	1013									supplier_id=2275 product-scoped cycle_history; outside Excel detail match or no Jan-2026 Excel source_file
PLATFORM_ONLY	platform_lifecycle_row	simo_prod.ods.resource_res_vsim_cycle_history		2026-01	2026-01		PLATFORM_ONLY	NO_EXCEL	14089	13009									supplier_id=2275 product-scoped cycle_history; outside Excel detail match or no Jan-2026 Excel source_file
ROW_STATUS	invoice_row	simo_prod.mysql_cdc_sync.wa_invoice_detail	006-V2 - SIMO Data Purchase Invoice Details - SEP 2025.xlsx	2025-09	2025-09	Full Rate	MISSING_MAPPING	MATCHED	110	110	6820.000000000000	6820.000000000000	0E-11	110	110	110	0	6820.000000000000	Detail invoice row grain; rule_id and difference_reason are retained in Candidate row SQL
ROW_STATUS	invoice_row	simo_prod.mysql_cdc_sync.wa_invoice_detail	006-V2 - SIMO Data Purchase Invoice Details - SEP 2025.xlsx	2025-09	2025-09	Full Rate	UNRESOLVED	AMBIGUOUS_PLATFORM_CANDIDATE	12492	12492	764434.000000000000	748227.000000000000	-16207.00000000000	12345	11639	11639	0	764434.000000000000	Detail invoice row grain; rule_id and difference_reason are retained in Candidate row SQL
ROW_STATUS	invoice_row	simo_prod.mysql_cdc_sync.wa_invoice_detail	006-V2 - SIMO Data Purchase Invoice Details - SEP 2025.xlsx	2025-09	2025-09	Partial Charge (Activated AUG)	MISSING_MAPPING	MATCHED	10769	10769	319126.258055000000	319126.258300000000	0.00024500000	10769	10769	10769	0	319126.258055000000	Detail invoice row grain; rule_id and difference_reason are retained in Candidate row SQL
ROW_STATUS	invoice_row	simo_prod.mysql_cdc_sync.wa_invoice_detail	006-V2 - SIMO Data Purchase Invoice Details - SEP 2025.xlsx	2025-09	2025-09	Partial Charge (Activated AUG)	MISSING_MAPPING	NUMERIC_MISMATCH	543	543	16512.000000000000	12239.451584000000	-4272.54841600000	448	95	0	0	16512.000000000000	Detail invoice row grain; rule_id and difference_reason are retained in Candidate row SQL
ROW_STATUS	invoice_row	simo_prod.mysql_cdc_sync.wa_invoice_detail	006-V2 - SIMO Data Purchase Invoice Details - SEP 2025.xlsx	2025-09	2025-09	Partial Charge (Activated AUG)	UNRESOLVED	AMBIGUOUS_PLATFORM_CANDIDATE	172	172	3694.000000000000	3694.000000000000	0E-11	172	172	172	0	3694.000000000000	Detail invoice row grain; rule_id and difference_reason are retained in Candidate row SQL
ROW_STATUS	invoice_row	simo_prod.mysql_cdc_sync.wa_invoice_detail	006-V2 - SIMO Data Purchase Invoice Details - SEP 2025.xlsx	2025-09	2025-09	Prorated-in Charge (Activated SEPT)	MISSING_MAPPING	MATCHED	591	591	11715.933347400000	11715.933474000000	0.00012660000	591	591	591	0	11715.933347400000	Detail invoice row grain; rule_id and difference_reason are retained in Candidate row SQL
ROW_STATUS	invoice_row	simo_prod.mysql_cdc_sync.wa_invoice_detail	006-V2 - SIMO Data Purchase Invoice Details - SEP 2025.xlsx	2025-09	2025-09	Prorated-in Charge (Activated SEPT)	MISSING_MAPPING	NUMERIC_MISMATCH	444	444	13017.933323900000	9097.800131000000	-3920.13319290000	275	169	0	0	13017.933323900000	Detail invoice row grain; rule_id and difference_reason are retained in Candidate row SQL
ROW_STATUS	invoice_row	simo_prod.mysql_cdc_sync.wa_invoice_detail	006-V2 - SIMO Data Purchase Invoice Details - SEP 2025.xlsx	2025-09	2025-09	Prorated-in Charge (Activated SEPT)	UNRESOLVED	AMBIGUOUS_PLATFORM_CANDIDATE	50	50	2744.533335000000	2744.533350000000	0.00001500000	50	50	50	0	2744.533335000000	Detail invoice row grain; rule_id and difference_reason are retained in Candidate row SQL
ROW_STATUS	invoice_row	simo_prod.mysql_cdc_sync.wa_invoice_detail	006-V2 - SIMO Data Purchase Invoice Details - SEP 2025.xlsx	2025-09	2025-09	Prorated-out Charge (Activated SEPT)	UNRESOLVED	AMBIGUOUS_PLATFORM_CANDIDATE	66	66	1328.866667800000	1328.866678000000	0.00001020000	66	66	66	0	1328.866667800000	Detail invoice row grain; rule_id and difference_reason are retained in Candidate row SQL
ROW_STATUS	invoice_row	simo_prod.mysql_cdc_sync.wa_invoice_detail	01-INVOICE_FROM_ WA_USD_772,765.00_SIMO Data Purchase Invoice Details - OCT 2025.xlsx	2025-10 (v1)		Credit for Offstocked Card	WA_ONLY	NO_PLATFORM	37	37	-465.000000000000			0	0	0	37	-465.000000000000	Detail invoice row grain; rule_id and difference_reason are retained in Candidate row SQL
ROW_STATUS	invoice_row	simo_prod.mysql_cdc_sync.wa_invoice_detail	01-INVOICE_FROM_ WA_USD_772,765.00_SIMO Data Purchase Invoice Details - OCT 2025.xlsx	2025-10 (v1)	2025-10	Full Cycle Charge	UNRESOLVED	AMBIGUOUS_PLATFORM_CANDIDATE	12573	12573	769456.000000000000	748100.000000000000	-21356.00000000000	9847	11449	11449	0	769456.000000000000	Detail invoice row grain; rule_id and difference_reason are retained in Candidate row SQL
ROW_STATUS	invoice_row	simo_prod.mysql_cdc_sync.wa_invoice_detail	01-INVOICE_FROM_ WA_USD_772,765.00_SIMO Data Purchase Invoice Details - OCT 2025.xlsx	2025-10 (v1)	2025-10	New Activation: Prorated-in Charge	MISSING_MAPPING	MATCHED	66	66	2276.000000000000	2276.000000000000	0E-11	66	66	66	0	2276.000000000000	Detail invoice row grain; rule_id and difference_reason are retained in Candidate row SQL
ROW_STATUS	invoice_row	simo_prod.mysql_cdc_sync.wa_invoice_detail	01-INVOICE_FROM_ WA_USD_772,765.00_SIMO Data Purchase Invoice Details - OCT 2025.xlsx	2025-10 (v1)	2025-10	New Activation: Prorated-in Charge	MISSING_MAPPING	NUMERIC_MISMATCH	6	6	88.533333333334	74.000000000000	-14.53333333334	2	6	0	0	88.533333333334	Detail invoice row grain; rule_id and difference_reason are retained in Candidate row SQL
ROW_STATUS	invoice_row	simo_prod.mysql_cdc_sync.wa_invoice_detail	01-INVOICE_FROM_ WA_USD_772,765.00_SIMO Data Purchase Invoice Details - OCT 2025.xlsx	2025-10 (v1)	2025-10	Prorated-out Charge (Activated OCT)	UNRESOLVED	AMBIGUOUS_PLATFORM_CANDIDATE	32	32	930.000000000000	925.709677000000	-4.29032300000	32	31	31	0	930.000000000000	Detail invoice row grain; rule_id and difference_reason are retained in Candidate row SQL
ROW_STATUS	invoice_row	simo_prod.mysql_cdc_sync.wa_invoice_detail	01-1-INVOICE_FROM_ WA_USD_773,793.84_SIMO Data Purchase Invoice Details - OCT 2025.xlsx	2025-10 (v2)	2025-11	Full Cycle Charge	MISSING_MAPPING	MATCHED	226	226	14012.000000000000	14012.000000000000	0E-11	226	226	226	0	14012.000000000000	Detail invoice row grain; rule_id and difference_reason are retained in Candidate row SQL
ROW_STATUS	invoice_row	simo_prod.mysql_cdc_sync.wa_invoice_detail	01-1-INVOICE_FROM_ WA_USD_773,793.84_SIMO Data Purchase Invoice Details - OCT 2025.xlsx	2025-10 (v2)	2025-11	Full Cycle Charge	MISSING_MAPPING	NUMERIC_MISMATCH	734	734	45299.000000000000	40796.000000000000	-4503.00000000000	216	497	497	0	45299.000000000000	Detail invoice row grain; rule_id and difference_reason are retained in Candidate row SQL
ROW_STATUS	invoice_row	simo_prod.mysql_cdc_sync.wa_invoice_detail	01-1-INVOICE_FROM_ WA_USD_773,793.84_SIMO Data Purchase Invoice Details - OCT 2025.xlsx	2025-10 (v2)	2025-11	Full Cycle Charge	UNRESOLVED	AMBIGUOUS_PLATFORM_CANDIDATE	11681	11681	713981.000000000000	690497.000000000000	-23484.00000000000	11678	10445	10445	0	713981.000000000000	Detail invoice row grain; rule_id and difference_reason are retained in Candidate row SQL
ROW_STATUS	invoice_row	simo_prod.mysql_cdc_sync.wa_invoice_detail	01-1-INVOICE_FROM_ WA_USD_773,793.84_SIMO Data Purchase Invoice Details - OCT 2025.xlsx	2025-10 (v2)	2025-11	New Activation: Prorated-in Charge	MISSING_MAPPING	NUMERIC_MISMATCH	21	21	435.838709677419	207.833327000000	-228.00538267742	5	20	0	0	435.838709677419	Detail invoice row grain; rule_id and difference_reason are retained in Candidate row SQL
ROW_STATUS	invoice_row	simo_prod.mysql_cdc_sync.wa_invoice_detail	01-1-INVOICE_FROM_ WA_USD_773,793.84_SIMO Data Purchase Invoice Details - OCT 2025.xlsx	2025-10 (v2)	2025-11	New Activation: Prorated-in Charge	UNRESOLVED	AMBIGUOUS_PLATFORM_CANDIDATE	1	1	10.000000000000	7.166667000000	-2.83333300000	1	0	0	0	10.000000000000	Detail invoice row grain; rule_id and difference_reason are retained in Candidate row SQL
