snapshot_month	coverage_scope	snapshot_rows	distinct_imsi	distinct_product_id	min_partition_day	max_partition_day	min_partition_time_raw	max_partition_time_raw
2025-10	full_partition_filter	39388295	54782	339	1	31	2025-10-01 00:00:00	2025-10-31 23:00:00
2025-11	full_partition_filter	38467730	58320	353	1	30	2025-11-01 00:00:00	2025-11-30 23:00:00
