result_type	grain	source_table	source_file	official_excel_billing_month	observed_start_month	charge_type	numeric_match_status	formal_match_status	formal_match_status	row_count	distinct_imsi_count	excel_amount	platform_calculated_amount_known	platform_total	amount_diff	days_exact_count	price_exact_count	amount_exact_count	numeric_match_row_count	formal_match_row_count	unknown_platform_amount_row_count	unresolved_or_unproven_excel_amount	difference_reason
ROW_STATUS	invoice_row	simo_prod.mysql_cdc_sync.wa_invoice_detail	SIMO Data Purchase Invoice Details - DEC 2025.xlsx	2025-12	2025-12	New Activation: Prorated-in Charge	AMBIGUOUS_PLATFORM_CANDIDATE	UNRESOLVED	UNRESOLVED	129	129	4070.903225806433			0.00000919375	129	129	129			129	4070.903225806433	row grain; selected candidate amount retained separately from known amount
ROW_STATUS	invoice_row	simo_prod.mysql_cdc_sync.wa_invoice_detail	SIMO Data Purchase Invoice Details - DEC 2025.xlsx	2025-12	2025-12	New Activation: Prorated-in Charge	MATCHED	MATCHED	MATCHED	544	544	10747.483870967643	10747.483864000000		-0.00000696752	544	544	544			0	0E-12	row grain; selected candidate amount retained separately from known amount
ROW_STATUS	invoice_row	simo_prod.mysql_cdc_sync.wa_invoice_detail	SIMO Data Purchase Invoice Details - DEC 2025.xlsx	2025-12	2025-12	New Activation: Prorated-in Charge	NUMERIC_MISMATCH	UNRESOLVED	UNRESOLVED	75	75	591.966666666655	568.709665000000		-23.25700166655	73	75	0			0	591.966666666655	row grain; selected candidate amount retained separately from known amount
ROW_STATUS	invoice_row	simo_prod.mysql_cdc_sync.wa_invoice_detail	01-SIMO Data Purchase Invoice Details - FEB 2026.xlsx	2026-02	2026-02	Full Cycle Charge	AMBIGUOUS_PLATFORM_CANDIDATE	UNRESOLVED	UNRESOLVED	11748	11748	667676.000000000000			-25023.00000000000	11566	10431	10431			11748	667676.000000000000	row grain; selected candidate amount retained separately from known amount
ROW_STATUS	invoice_row	simo_prod.mysql_cdc_sync.wa_invoice_detail	01-SIMO Data Purchase Invoice Details - FEB 2026.xlsx	2026-02	2026-02	New Activation: Prorated-in Charge	AMBIGUOUS_PLATFORM_CANDIDATE	UNRESOLVED	UNRESOLVED	155	155	2427.964285714264			-485.28575671390	93	155	93			155	2427.964285714264	row grain; selected candidate amount retained separately from known amount
ROW_STATUS	invoice_row	simo_prod.mysql_cdc_sync.wa_invoice_detail	01-SIMO Data Purchase Invoice Details - FEB 2026.xlsx	2026-02	2026-02	New Activation: Prorated-in Charge	MATCHED	MATCHED	MATCHED	195	195	7936.964285714298	7936.964298000000		0.00001228569	195	195	195			0	0E-12	row grain; selected candidate amount retained separately from known amount
ROW_STATUS	invoice_row	simo_prod.mysql_cdc_sync.wa_invoice_detail	01-SIMO Data Purchase Invoice Details - FEB 2026.xlsx	2026-02	2026-02	New Activation: Prorated-in Charge	NO_PLATFORM	MISSING_MAPPING	MISSING_MAPPING	2	2	61.428571428572				0	0	0			2	61.428571428572	row grain; selected candidate amount retained separately from known amount
ROW_STATUS	invoice_row	simo_prod.mysql_cdc_sync.wa_invoice_detail	01-SIMO Data Purchase Invoice Details - FEB 2026.xlsx	2026-02	2026-02	New Activation: Prorated-in Charge	NUMERIC_MISMATCH	UNRESOLVED	UNRESOLVED	377	377	12315.366359447002	8060.142828000000		-4255.22353144694	133	279	0			0	12315.366359447002	row grain; selected candidate amount retained separately from known amount
ROW_STATUS	invoice_row	simo_prod.mysql_cdc_sync.wa_invoice_detail	01-SIMO Data Purchase Invoice Details - FEB 2026.xlsx	2026-02	2026-02	Offstocked before cycle start	AMBIGUOUS_PLATFORM_CANDIDATE	UNRESOLVED	UNRESOLVED	90	90					0	90	0			90		row grain; selected candidate amount retained separately from known amount
ROW_STATUS	invoice_row	simo_prod.mysql_cdc_sync.wa_invoice_detail	01-SIMO Data Purchase Invoice Details - FEB 2026.xlsx	2026-02		Offstocked before cycle start	NO_PLATFORM	MISSING_MAPPING	MISSING_MAPPING	1	1					0	0	0			1		row grain; selected candidate amount retained separately from known amount
ROW_STATUS	invoice_row	simo_prod.mysql_cdc_sync.wa_invoice_detail	01-SIMO Data Purchase Invoice Details - FEB 2026.xlsx	2026-02	2026-02	Partial Charge - Card Replaced Mid Cycle	AMBIGUOUS_PLATFORM_CANDIDATE	UNRESOLVED	UNRESOLVED	4	4	154.999999999999			-0.00000100000	4	4	4			4	154.999999999999	row grain; selected candidate amount retained separately from known amount
