result_type	grain	source_table	source_file	official_excel_billing_month	observed_start_month	charge_type	numeric_match_status	formal_match_status	formal_match_status	row_count	distinct_imsi_count	excel_amount	platform_calculated_amount_known	platform_total	amount_diff	days_exact_count	price_exact_count	amount_exact_count	numeric_match_row_count	formal_match_row_count	unknown_platform_amount_row_count	unresolved_or_unproven_excel_amount	difference_reason
PLATFORM_ONLY	platform_lifecycle_row	simo_prod.ods.resource_res_vsim_cycle_history		2025-09	2025-09		NOT_APPLICABLE	PLATFORM_ONLY	PLATFORM_ONLY	333	333												supplier_id=2275 product-scoped lifecycle with no Excel detail window match
PLATFORM_ONLY	platform_lifecycle_row	simo_prod.ods.resource_res_vsim_cycle_history		2025-10 (v1)	2025-10		NOT_APPLICABLE	PLATFORM_ONLY	PLATFORM_ONLY	5	5												supplier_id=2275 product-scoped lifecycle with no Excel detail window match
PLATFORM_ONLY	platform_lifecycle_row	simo_prod.ods.resource_res_vsim_cycle_history		2025-10 (v2)	2025-11		NOT_APPLICABLE	PLATFORM_ONLY	PLATFORM_ONLY	1275	1013												supplier_id=2275 product-scoped lifecycle with no Excel detail window match
PLATFORM_ONLY	platform_lifecycle_row	simo_prod.ods.resource_res_vsim_cycle_history		2026-01	2026-01		NOT_APPLICABLE	PLATFORM_ONLY	PLATFORM_ONLY	14089	13009												supplier_id=2275 product-scoped lifecycle with no Excel detail window match
ROW_STATUS	invoice_row	simo_prod.mysql_cdc_sync.wa_invoice_detail	006-V2 - SIMO Data Purchase Invoice Details - SEP 2025.xlsx	2025-09	2025-09	Full Rate	AMBIGUOUS_PLATFORM_CANDIDATE	UNRESOLVED	UNRESOLVED	12492	12492	764434.000000000000			-16207.00000000000	12345	11639	11639			12492	764434.000000000000	row grain; selected candidate amount retained separately from known amount
ROW_STATUS	invoice_row	simo_prod.mysql_cdc_sync.wa_invoice_detail	006-V2 - SIMO Data Purchase Invoice Details - SEP 2025.xlsx	2025-09	2025-09	Full Rate	MATCHED	MATCHED	MATCHED	110	110	6820.000000000000	6820.000000000000		0E-11	110	110	110			0	0E-12	row grain; selected candidate amount retained separately from known amount
ROW_STATUS	invoice_row	simo_prod.mysql_cdc_sync.wa_invoice_detail	006-V2 - SIMO Data Purchase Invoice Details - SEP 2025.xlsx	2025-09	2025-09	Partial Charge (Activated AUG)	AMBIGUOUS_PLATFORM_CANDIDATE	UNRESOLVED	UNRESOLVED	172	172	3694.000000000000			0E-11	172	172	172			172	3694.000000000000	row grain; selected candidate amount retained separately from known amount
ROW_STATUS	invoice_row	simo_prod.mysql_cdc_sync.wa_invoice_detail	006-V2 - SIMO Data Purchase Invoice Details - SEP 2025.xlsx	2025-09	2025-09	Partial Charge (Activated AUG)	MATCHED	MATCHED	MATCHED	10769	10769	319126.258055000000	319126.258300000000		0.00024500000	10769	10769	10769			0	0E-12	row grain; selected candidate amount retained separately from known amount
ROW_STATUS	invoice_row	simo_prod.mysql_cdc_sync.wa_invoice_detail	006-V2 - SIMO Data Purchase Invoice Details - SEP 2025.xlsx	2025-09	2025-09	Partial Charge (Activated AUG)	NUMERIC_MISMATCH	UNRESOLVED	UNRESOLVED	543	543	16512.000000000000	12239.451584000000		-4272.54841600000	448	95	0			0	16512.000000000000	row grain; selected candidate amount retained separately from known amount
ROW_STATUS	invoice_row	simo_prod.mysql_cdc_sync.wa_invoice_detail	006-V2 - SIMO Data Purchase Invoice Details - SEP 2025.xlsx	2025-09	2025-09	Prorated-in Charge (Activated SEPT)	AMBIGUOUS_PLATFORM_CANDIDATE	UNRESOLVED	UNRESOLVED	50	50	2744.533335000000			0.00001500000	50	50	50			50	2744.533335000000	row grain; selected candidate amount retained separately from known amount
ROW_STATUS	invoice_row	simo_prod.mysql_cdc_sync.wa_invoice_detail	006-V2 - SIMO Data Purchase Invoice Details - SEP 2025.xlsx	2025-09	2025-09	Prorated-in Charge (Activated SEPT)	MATCHED	MATCHED	MATCHED	591	591	11715.933347400000	11715.933474000000		0.00012660000	591	591	591			0	0E-12	row grain; selected candidate amount retained separately from known amount
ROW_STATUS	invoice_row	simo_prod.mysql_cdc_sync.wa_invoice_detail	006-V2 - SIMO Data Purchase Invoice Details - SEP 2025.xlsx	2025-09	2025-09	Prorated-in Charge (Activated SEPT)	NUMERIC_MISMATCH	UNRESOLVED	UNRESOLVED	444	444	13017.933323900000	9097.800131000000		-3920.13319290000	275	169	0			0	13017.933323900000	row grain; selected candidate amount retained separately from known amount
