billing_month	charge_type	join_status	joined_row_count	distinct_card_count	matched_card_count	exact_day_card_count	exact_day_line_count	day_mismatch_line_count	missing_lifecycle_line_count	sum_abs_day_error	price_match_observed_line_count	price_mismatch_observed_line_count	multiple_price_line_count	missing_mapping_or_price_line_count	price_effective_condition_unresolved_line_count	invalid_date_window_line_count	activation_plus1_minus1_exact_line_count	activation_end_inclusive_exact_line_count	invoice_amount	platform_calculated_amount	amount_difference
2025-11	<PLATFORM_ONLY>	PLATFORM_ONLY	4219	4219	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0.0	0.0	0.0
2025-11	Full Cycle Charge	MATCHED	12641	12641	12641	12641	12641	0	0	0.0	11296	1344	1	0	12640	0	0	0	773292.0	747694.0	-25598.0
2025-11	New Activation: Prorated-in Charge	MATCHED	22	22	22	0	0	10	12	254.0	20	2	0	0	22	12	0	0	445.8387096774194	520.2997	74.46099032258064
