local_excel_file	local_relative_path	sheet_name	field_name	field_kind	non_null_count	sum_value	min_value	max_value
01-1-INVOICE_FROM_ WA_USD_773,793.84_SIMO Data Purchase Invoice Details - OCT 2025.xlsx	2025年12月\WingAlpha-2025年12月付；USD773,380.39\01-1-INVOICE_FROM_ WA_USD_773,793.84_SIMO Data Purchase Invoice Details - OCT 2025.xlsx	Prorated-In OCT - Pending Charg	Cycle End Date	date	5		2025-11-15	2025-11-15
01-1-INVOICE_FROM_ WA_USD_773,793.84_SIMO Data Purchase Invoice Details - OCT 2025.xlsx	2025年12月\WingAlpha-2025年12月付；USD773,380.39\01-1-INVOICE_FROM_ WA_USD_773,793.84_SIMO Data Purchase Invoice Details - OCT 2025.xlsx	Prorated-In OCT - Pending Charg	Cycle Start Date	date	5		2025-10-16	2025-10-16
01-1-INVOICE_FROM_ WA_USD_773,793.84_SIMO Data Purchase Invoice Details - OCT 2025.xlsx	2025年12月\WingAlpha-2025年12月付；USD773,380.39\01-1-INVOICE_FROM_ WA_USD_773,793.84_SIMO Data Purchase Invoice Details - OCT 2025.xlsx	Prorated-In OCT - Pending Charg	Final End Date	date	5		2025-11-15	2025-11-15
01-1-INVOICE_FROM_ WA_USD_773,793.84_SIMO Data Purchase Invoice Details - OCT 2025.xlsx	2025年12月\WingAlpha-2025年12月付；USD773,380.39\01-1-INVOICE_FROM_ WA_USD_773,793.84_SIMO Data Purchase Invoice Details - OCT 2025.xlsx	Prorated-In OCT - Pending Charg	Final Start Date	date	5		2025-10-24	2025-10-24
01-1-INVOICE_FROM_ WA_USD_773,793.84_SIMO Data Purchase Invoice Details - OCT 2025.xlsx	2025年12月\WingAlpha-2025年12月付；USD773,380.39\01-1-INVOICE_FROM_ WA_USD_773,793.84_SIMO Data Purchase Invoice Details - OCT 2025.xlsx	Prorated-In OCT - Pending Charg	New Activation Date	date	5		2025-10-24	2025-10-24
01-2-Credit _FROM_ WA_ USD_585.45 wing response New_Query_2025-12-10_5_49pm_2025_12_16.xlsx	2025年12月\WingAlpha-2025年12月付；USD773,380.39\01-2-Credit _FROM_ WA_ USD_585.45 wing response New_Query_2025-12-10_5_49pm_2025_12_16.xlsx	Sheet1	Correct Price	amount	393	23780.55	20.67	62.0
01-2-Credit _FROM_ WA_ USD_585.45 wing response New_Query_2025-12-10_5_49pm_2025_12_16.xlsx	2025年12月\WingAlpha-2025年12月付；USD773,380.39\01-2-Credit _FROM_ WA_ USD_585.45 wing response New_Query_2025-12-10_5_49pm_2025_12_16.xlsx	Sheet1	Credit Owed	amount	393	585.45	0.0	41.33
01-2-Credit _FROM_ WA_ USD_585.45 wing response New_Query_2025-12-10_5_49pm_2025_12_16.xlsx	2025年12月\WingAlpha-2025年12月付；USD773,380.39\01-2-Credit _FROM_ WA_ USD_585.45 wing response New_Query_2025-12-10_5_49pm_2025_12_16.xlsx	Sheet1	final price	amount	393	24366.0	62.0	62.0
01-2-Credit _FROM_ WA_ USD_585.45 wing response New_Query_2025-12-10_5_49pm_2025_12_16.xlsx	2025年12月\WingAlpha-2025年12月付；USD773,380.39\01-2-Credit _FROM_ WA_ USD_585.45 wing response New_Query_2025-12-10_5_49pm_2025_12_16.xlsx	Sheet1	price	amount	393	24366.0	62.0	62.0
01-2-Credit _FROM_ WA_ USD_585.45 wing response New_Query_2025-12-10_5_49pm_2025_12_16.xlsx	2025年12月\WingAlpha-2025年12月付；USD773,380.39\01-2-Credit _FROM_ WA_ USD_585.45 wing response New_Query_2025-12-10_5_49pm_2025_12_16.xlsx	Sheet1	cycle end	date	393		2025-11-30	2025-12-26
01-2-Credit _FROM_ WA_ USD_585.45 wing response New_Query_2025-12-10_5_49pm_2025_12_16.xlsx	2025年12月\WingAlpha-2025年12月付；USD773,380.39\01-2-Credit _FROM_ WA_ USD_585.45 wing response New_Query_2025-12-10_5_49pm_2025_12_16.xlsx	Sheet1	cycle start	date	393		2025-11-01	2025-11-27
01-2-Credit _FROM_ WA_ USD_585.45 wing response New_Query_2025-12-10_5_49pm_2025_12_16.xlsx	2025年12月\WingAlpha-2025年12月付；USD773,380.39\01-2-Credit _FROM_ WA_ USD_585.45 wing response New_Query_2025-12-10_5_49pm_2025_12_16.xlsx	Sheet1	date line went down	date	368		2025-11-07	2025-11-18
01-2-Credit _FROM_ WA_ USD_585.45 wing response New_Query_2025-12-10_5_49pm_2025_12_16.xlsx	2025年12月\WingAlpha-2025年12月付；USD773,380.39\01-2-Credit _FROM_ WA_ USD_585.45 wing response New_Query_2025-12-10_5_49pm_2025_12_16.xlsx	Sheet1	date replacement was activated	date	383		2025-10-30	2025-11-30
SIMO Data Purchase Invoice Details - DEC 2025.xlsx	2026年1月\WingAlpha-2026年1月付；USD704,839.35\SIMO Data Purchase Invoice Details - DEC 2025.xlsx	Detail Charges	Final Charge	amount	12185	704839.353763434	2.8666666666666667	62.0
SIMO Data Purchase Invoice Details - DEC 2025.xlsx	2026年1月\WingAlpha-2026年1月付；USD704,839.35\SIMO Data Purchase Invoice Details - DEC 2025.xlsx	Detail Charges	Monthly Rate	amount	12185	723265.0	43.0	62.0
SIMO Data Purchase Invoice Details - DEC 2025.xlsx	2026年1月\WingAlpha-2026年1月付；USD704,839.35\SIMO Data Purchase Invoice Details - DEC 2025.xlsx	Detail Charges	Cycle End Date	date	12185		2025-12-23	2026-01-29
SIMO Data Purchase Invoice Details - DEC 2025.xlsx	2026年1月\WingAlpha-2026年1月付；USD704,839.35\SIMO Data Purchase Invoice Details - DEC 2025.xlsx	Detail Charges	Cycle Start Date	date	12185		2025-11-24	2025-12-30
SIMO Data Purchase Invoice Details - DEC 2025.xlsx	2026年1月\WingAlpha-2026年1月付；USD704,839.35\SIMO Data Purchase Invoice Details - DEC 2025.xlsx	Detail Charges	Final End Date	date	12185		2025-12-23	2026-01-29
SIMO Data Purchase Invoice Details - DEC 2025.xlsx	2026年1月\WingAlpha-2026年1月付；USD704,839.35\SIMO Data Purchase Invoice Details - DEC 2025.xlsx	Detail Charges	Final Start Date	date	12185		2025-12-01	2025-12-31
SIMO Data Purchase Invoice Details - DEC 2025.xlsx	2026年1月\WingAlpha-2026年1月付；USD704,839.35\SIMO Data Purchase Invoice Details - DEC 2025.xlsx	Detail Charges	New Activation Date	date	750		2025-12-22	2025-12-31
SIMO Data Purchase Invoice Details - DEC 2025.xlsx	2026年1月\WingAlpha-2026年1月付；USD704,839.35\SIMO Data Purchase Invoice Details - DEC 2025.xlsx	Detail Charges	Offstock Date	date	9		2025-12-31	2025-12-31
01-SIMO Data Purchase Invoice Details - JAN 2025.xlsx	2026年2月\WingAlpha-2026年2月付；USD703,612.29\01-SIMO Data Purchase Invoice Details - JAN 2025.xlsx	Detail Charges	Final Charge	amount	12953	703606.290322565	-50.0	62.0
01-SIMO Data Purchase Invoice Details - JAN 2025.xlsx	2026年2月\WingAlpha-2026年2月付；USD703,612.29\01-SIMO Data Purchase Invoice Details - JAN 2025.xlsx	Detail Charges	Monthly Rate	amount	13661	778622.0	21.0	62.0
01-SIMO Data Purchase Invoice Details - JAN 2025.xlsx	2026年2月\WingAlpha-2026年2月付；USD703,612.29\01-SIMO Data Purchase Invoice Details - JAN 2025.xlsx	Detail Charges	Cycle End Date	date	13661		2026-01-01	2026-02-27
01-SIMO Data Purchase Invoice Details - JAN 2025.xlsx	2026年2月\WingAlpha-2026年2月付；USD703,612.29\01-SIMO Data Purchase Invoice Details - JAN 2025.xlsx	Detail Charges	Cycle Start Date	date	13661		2025-12-02	2026-01-31
01-SIMO Data Purchase Invoice Details - JAN 2025.xlsx	2026年2月\WingAlpha-2026年2月付；USD703,612.29\01-SIMO Data Purchase Invoice Details - JAN 2025.xlsx	Detail Charges	Final End Date	date	12953		2026-01-01	2026-02-27
01-SIMO Data Purchase Invoice Details - JAN 2025.xlsx	2026年2月\WingAlpha-2026年2月付；USD703,612.29\01-SIMO Data Purchase Invoice Details - JAN 2025.xlsx	Detail Charges	Final Start Date	date	12953		2026-01-01	2026-02-01
01-SIMO Data Purchase Invoice Details - JAN 2025.xlsx	2026年2月\WingAlpha-2026年2月付；USD703,612.29\01-SIMO Data Purchase Invoice Details - JAN 2025.xlsx	Detail Charges	New Activation Date	date	1365		2026-01-01	2026-01-31
01-SIMO Data Purchase Invoice Details - JAN 2025.xlsx	2026年2月\WingAlpha-2026年2月付；USD703,612.29\01-SIMO Data Purchase Invoice Details - JAN 2025.xlsx	Detail Charges	Offstock Date	date	770		2025-12-31	2026-01-27
01-SIMO Data Purchase Invoice Details - JAN 2025.xlsx	2026年2月\WingAlpha-2026年2月付；USD703,612.29\01-SIMO Data Purchase Invoice Details - JAN 2025.xlsx	Prorated-In DEC - Pending Charg	Final Charge For Usage Days	amount	1	34.0	34.0	34.0
01-SIMO Data Purchase Invoice Details - JAN 2025.xlsx	2026年2月\WingAlpha-2026年2月付；USD703,612.29\01-SIMO Data Purchase Invoice Details - JAN 2025.xlsx	Prorated-In DEC - Pending Charg	Monthly Rate	amount	1	62.0	62.0	62.0
